"Profession","Dept.group","Organisation","Dept.IfG","Whitehall","Managed","Year","value","Category","Note_profgroup"
"Information Technology","Environment, Food and Rural Affairs","Rural Payments Agency","Defra","Non-Whitehall","Yes",2010,50,"Corporate",""
"Information Technology","Environment, Food and Rural Affairs","Veterinary Laboratories Agency","Defra","Non-Whitehall","No",2010,30,"Corporate",""
"Information Technology","Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Defra","Non-Whitehall","No",2010,0,"Corporate",""
"Information Technology","Children, Schools and Families / Department for Education","Department for Education","DfE","Whitehall","Yes",2010,120,"Corporate",""
"Information Technology","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","DfE","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Ofsted","Ofsted","DfE","Non-Whitehall","No",2010,30,"Corporate",""
"Information Technology","Department for Education","Standards and Testing Agency","DfE","Non-Whitehall","Yes",2010,NA,"Corporate",""
"Information Technology","Department for Education","Education Funding Agency","DfE","Non-Whitehall","Yes",2010,NA,"Corporate",""
"Information Technology","Department for Education","National College","DfE","Non-Whitehall","Yes",2010,NA,"Corporate",""
"Information Technology","Department for Education","Teaching Agency","DfE","Non-Whitehall","Yes",2010,NA,"Corporate",""
"Information Technology","Department for Education","National College for Teaching and Leadership","DfE","Non-Whitehall","Yes",2010,NA,"Corporate",""
"Information Technology","International Development ","Department for International Development","DfID","Whitehall","Yes",2010,100,"Corporate",""
"Information Technology","Transport","Department for Transport","DfT","Whitehall","Yes",2010,0,"Corporate",""
"Information Technology","Transport","Driver and Vehicle Licensing Agency","DfT","Non-Whitehall","No",2010,0,"Corporate",""
"Information Technology","Transport","Driving Standards Agency","DfT","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Transport","Government Car and Despatch Agency","DfT","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Transport","Highways Agency","DfT","Non-Whitehall","No",2010,130,"Corporate",""
"Information Technology","Transport","Maritime and Coastguard Agency","DfT","Non-Whitehall","No",2010,50,"Corporate",""
"Information Technology","Transport","Office of Rail Regulation","DfT","Non-Whitehall","No",2010,10,"Corporate",""
"Information Technology","Transport","Vehicle and Operator Services Agency","DfT","Non-Whitehall","No",2010,30,"Corporate",""
"Information Technology","Transport","Vehicle Certification Agency","DfT","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Health","Department of Health (excl agencies)","DH","Whitehall","Yes",2010,110,"Corporate",""
"Information Technology","Health","Food Standards Agency","DH","Non-Whitehall","No",2010,10,"Corporate",""
"Information Technology","Health","Meat Hygiene Service","DH","Non-Whitehall","No",2010,20,"Corporate",""
"Information Technology","Health","Medicines and Healthcare Products Regulatory Agency","DH","Non-Whitehall","No",2010,20,"Corporate",""
"Information Technology","Health","National Healthcare Purchasing and Supplies","DH","Non-Whitehall","No",2010,10,"Corporate",""
"Information Technology","Health","NHS Business Services Authority","DH","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Health","Public Health England","DH","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Work and Pensions","Department for Work and Pensions","DWP","Non-Whitehall","Yes",2010,NA,"Corporate",""
"Information Technology","Work and Pensions","Child Maintenance Enforcement Commission","DWP","Non-Whitehall","Yes",2010,10,"Corporate",""
"Information Technology","Work and Pensions","DWP Corporate and Shared Services  ","DWP","Non-Whitehall","Yes",2010,2250,"Corporate",""
"Information Technology","Work and Pensions","Jobcentre Plus","DWP","Non-Whitehall","Yes",2010,20,"Corporate",""
"Information Technology","Work and Pensions","Pensions & Disability Carers Service ","DWP","Non-Whitehall","Yes",2010,0,"Corporate",""
"Information Technology","Work and Pensions","The Health and Safety Executive","DWP","Non-Whitehall","No",2010,10,"Corporate",""
"Information Technology","Work and Pensions","The Rent Service","DWP","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Foreign and Commonwealth Office","Foreign and Commonwealth Office (excl agencies)","FCO","Whitehall","Yes",2010,0,"Corporate",""
"Information Technology","Security and Intelligence Services","Security and Intelligence Services","FCO","Non-Whitehall","No",2010,0,"Corporate",""
"Information Technology","Foreign and Commonwealth Office","Wilton Park Executive Agency","FCO","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Foreign and Commonwealth Office","Foreign and Commonwealth Office Services","FCO","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Government Equalities Office","Government Equalities Office","GEO","Whitehall","Yes",2010,0,"Corporate",""
"Information Technology","UK Statistics Authority","Census Field","CO","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Chancellor's other departments","Debt Management Office","HMT","Non-Whitehall","Yes",2010,30,"Corporate",""
"Information Technology","Chancellor's other departments","Government Actuary's Department","HMT","Non-Whitehall","Yes",2010,10,"Corporate",""
"Information Technology","HM Revenue and Customs","HM Revenue and Customs","HMRC","Non-Whitehall","Yes",2010,1210,"Corporate",""
"Information Technology","HM Treasury","HM Treasury","HMT","Whitehall","Yes",2010,40,"Corporate",""
"Information Technology","HM Treasury","Office for Budget Responsibility","HMT","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","HM Treasury","Asset Protection Agency","HMT","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Chancellor's other departments","National Savings and Investments","HMT","Non-Whitehall","No",2010,10,"Corporate",""
"Information Technology","Chancellor's other departments","Office of Government Commerce","HMT","Non-Whitehall","No",2010,10,"Corporate",""
"Information Technology","Chancellor's other departments","OGC Buying Solutions","HMT","Non-Whitehall","No",2010,30,"Corporate",""
"Information Technology","Chancellor's other departments","Royal Mint","HMT","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","UK Statistics Authority","UK Statistics Authority","CO","Non-Whitehall","No",2010,200,"Corporate",""
"Information Technology","HM Revenue and Customs","Valuation Office","HMRC","Non-Whitehall","Yes",2010,80,"Corporate",""
"Information Technology","Home Office","Criminal Records Bureau","HO","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Home Office","Home Office (excl agencies)","HO","Non-Whitehall","Yes",2010,90,"Corporate",""
"Information Technology","Home Office","Identity and Passport Service","HO","Non-Whitehall","No",2010,0,"Corporate",""
"Information Technology","Home Office","UK Border Agency","HO","Non-Whitehall","Yes",2010,190,"Corporate",""
"Information Technology","Home Office","National Fraud Authority","HO","Non-Whitehall","No",2010,0,"Corporate",""
"Information Technology","Defence","Defence Science and Technology Laboratory","MoD","Non-Whitehall","Yes",2010,20,"Corporate",""
"Information Technology","Defence","Defence Support Group","MoD","Non-Whitehall","Yes",2010,40,"Corporate",""
"Information Technology","Defence","Meteorological Office","MoD","Non-Whitehall","Yes",2010,NA,"Corporate",""
"Information Technology","Defence","Royal Fleet Auxiliary","MoD","Non-Whitehall","Yes",2010,0,"Corporate",""
"Information Technology","Defence","Ministry of Defence","MoD","Non-Whitehall","Yes",2010,0,"Corporate",""
"Information Technology","Defence","UK Hydrographic Office","MoD","Non-Whitehall","Yes",2010,60,"Corporate",""
"Information Technology","Justice","Her Majesty's Courts and Tribunals Service","MoJ","Non-Whitehall","Yes",2010,NA,"Corporate",""
"Information Technology","Justice","HM Courts Service","MoJ","Non-Whitehall","Yes",2010,0,"Corporate",""
"Information Technology","Justice","Land Registry","MoJ","Non-Whitehall","No",2010,430,"Corporate",""
"Information Technology","Justice","Ministry of Justice (excl agencies)","MoJ","Whitehall","Yes",2010,240,"Corporate",""
"Information Technology","Justice","National Archives","MoJ","Non-Whitehall","No",2010,50,"Corporate",""
"Information Technology","Justice","National Offender Management Service","MoJ","Non-Whitehall","Yes",2010,0,"Corporate",""
"Information Technology","Justice","Scotland Office (incl. Office of the Advocate General for Scotland)","MoJ","Non-Whitehall","No",2010,0,"Corporate",""
"Information Technology","Justice","The Office of the Public Guardian","MoJ","Non-Whitehall","Yes",2010,0,"Corporate",""
"Information Technology","Justice","Tribunals Service","MoJ","Non-Whitehall","Yes",2010,0,"Corporate",""
"Information Technology","Justice","UK Supreme Court","MoJ","Non-Whitehall","No",2010,0,"Corporate",""
"Information Technology","Justice","Wales Office","MoJ","Non-Whitehall","No",2010,0,"Corporate",""
"Information Technology","Justice","Legal Aid Agency","MoJ","Non-Whitehall","Yes",2010,NA,"Corporate",""
"Information Technology","Northern Ireland Office","Northern Ireland Office","NIO","Whitehall","Yes",2010,NA,"Corporate",""
"Information Technology","Scottish Government","Crown Office and Procurator Fiscal","Scot Gov","Non-Whitehall","No",2010,40,"Corporate",""
"Information Technology","Scottish Government","Disclosure Scotland","Scot Gov","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Scottish Government","Fisheries Research Services","Scot Gov","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Scottish Government","General Register Scotland","Scot Gov","Non-Whitehall","No",2010,60,"Corporate",""
"Information Technology","Scottish Government","GROS Census Field","Scot Gov","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Scottish Government","Historic Scotland","Scot Gov","Non-Whitehall","No",2010,10,"Corporate",""
"Information Technology","Scottish Government","HM Inspectorate of Education","Scot Gov","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Scottish Government","Mental Health Tribunal Scotland","Scot Gov","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Scottish Government","National Records of Scotland","Scot Gov","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Scottish Government","National Archive for Scotland","Scot Gov","Non-Whitehall","No",2010,10,"Corporate",""
"Information Technology","Scottish Government","Office for the Scottish Charity Regulator","Scot Gov","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Scottish Government","Accountant in Bankruptcy","Scot Gov","Non-Whitehall","No",2010,0,"Corporate",""
"Information Technology","Scottish Government","Registers of Scotland","Scot Gov","Non-Whitehall","No",2010,20,"Corporate",""
"Information Technology","Scottish Government","Scottish Court Service","Scot Gov","Non-Whitehall","No",2010,30,"Corporate",""
"Information Technology","Scottish Government","Scottish Fisheries Protection Agency","Scot Gov","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Scottish Government","Scottish Government (excl agencies)","Scot Gov","Non-Whitehall","No",2010,280,"Corporate",""
"Information Technology","Scottish Government","Scottish Housing Regulator","Scot Gov","Non-Whitehall","No",2010,0,"Corporate",""
"Information Technology","Scottish Government","Scottish Law Commission","Scot Gov","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Scottish Government","Scottish Prison Service Headquarters","Scot Gov","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Scottish Government","Scottish Public Pensions Agency","Scot Gov","Non-Whitehall","No",2010,10,"Corporate",""
"Information Technology","Scottish Government","Social Work Inspection Agency","Scot Gov","Non-Whitehall","No",2010,0,"Corporate",""
"Information Technology","Scottish Government","Student Awards Agency","Scot Gov","Non-Whitehall","No",2010,20,"Corporate",""
"Information Technology","Scottish Government","Transport Scotland","Scot Gov","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Scottish Government","Education Scotland","Scot Gov","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Welsh Assembly","ESTYN","Welsh Gov","Non-Whitehall","No",2010,NA,"Corporate",""
"Information Technology","Welsh Assembly","Welsh Government","Welsh Gov","Non-Whitehall","No",2010,130,"Corporate",""
"Information Technology","ONS total","All employees","Total employment","Total Employment ONS total","Total Employment ONS total",2010,7550,"Corporate",""
"Information Technology","Attorney General's departments","Attorney General's Office","AGO","Whitehall","Yes",2013,0,"Corporate",""
"Information Technology","Attorney General's departments","Crown Prosecution Service","AGO","Non-Whitehall","No",2013,50,"Corporate",""
"Information Technology","Attorney General's departments","Crown Prosecution Service Inspectorate","AGO","Non-Whitehall","No",2013,0,"Corporate",""
"Information Technology","Attorney General's departments","National Fraud Authority [AGO]","AGO","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Attorney General's departments","Revenue and Customs Prosecution Office","AGO","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Attorney General's departments","Serious Fraud Office","AGO","Non-Whitehall","No",2013,10,"Corporate",""
"Information Technology","Attorney General's departments","Treasury Solicitor","AGO","Non-Whitehall","No",2013,10,"Corporate",""
"Information Technology","Business, Innovation and Skills","Advisory Conciliation and Arbitration Service","BIS","Non-Whitehall","No",2013,30,"Corporate",""
"Information Technology","Business, Innovation and Skills","Business, Enterprise and Regulatory Reform","BIS","Whitehall","Yes",2013,NA,"Corporate",""
"Information Technology","Business, Innovation and Skills","Business, Innovation and Skills","BIS","Whitehall","Yes",2013,30,"Corporate",""
"Information Technology","Business, Innovation and Skills","Companies House","BIS","Non-Whitehall","No",2013,140,"Corporate",""
"Information Technology","Business, Innovation and Skills","UK Space Agency","BIS","Non-Whitehall","No",2013,0,"Corporate",""
"Information Technology","Innovation, Universities and Skills","Department for Innovation, Universities and Skills","BIS","Whitehall","Yes",2013,NA,"Corporate",""
"Information Technology","Export Credits Guarantee Department","Export Credit Guarantee Department","BIS","Non-Whitehall","No",2013,10,"Corporate",""
"Information Technology","Business, Innovation and Skills","Insolvency Service","BIS","Non-Whitehall","No",2013,40,"Corporate",""
"Information Technology","Business, Innovation and Skills","National Measurement Office","BIS","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Business, Innovation and Skills","National Weights and Measures Laboratory","BIS","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Business, Innovation and Skills","Office of Fair Trading","BIS","Non-Whitehall","No",2013,20,"Corporate",""
"Information Technology","Business, Innovation and Skills","Office of Gas and Electricity Market","DECC","Non-Whitehall","No",2013,40,"Corporate",""
"Information Technology","Business, Innovation and Skills","Postal Services Commission","BIS","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Business, Innovation and Skills","Skills Funding Agency","BIS","Non-Whitehall","No",2013,0,"Corporate",""
"Information Technology","Business, Innovation and Skills","UK Intellectual Property Office","BIS","Non-Whitehall","No",2013,110,"Corporate",""
"Information Technology","Business, Innovation and Skills","HM Land Registry","BIS","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Business, Innovation and Skills","Met Office","BIS","Non-Whitehall","No",2013,310,"Corporate",""
"Information Technology","Business, Innovation and Skills","Ordnance Survey","BIS","Non-Whitehall","No",2013,190,"Corporate",""
"Information Technology","Cabinet Office ","Buying Solutions","CO","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Information Technology","Cabinet Office ","Cabinet Office excl agencies","CO","Whitehall","Yes",2013,30,"Corporate",""
"Information Technology","Cabinet Office ","Central Office of Information","CO","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Information Technology","Charity Commission","Charity Commission","CO","Non-Whitehall","No",2013,10,"Corporate",""
"Information Technology","Cabinet Office ","National School of Government","CO","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Cabinet Office ","Office of the Parliamentary Counsel","CO","Non-Whitehall","Yes",2013,0,"Corporate",""
"Information Technology","Cabinet Office ","Government Procurement Service","CO","Non-Whitehall","Yes",2013,10,"Corporate",""
"Information Technology","Communities and Local Government","Department for Communities and Local Government","DCLG","Whitehall","Yes",2013,50,"Corporate",""
"Information Technology","Communities and Local Government","Fire Service College","DCLG","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Communities and Local Government","Ordnance Survey [DCLG]","DCLG","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Communities and Local Government","Planning Inspectorate","DCLG","Non-Whitehall","Yes",2013,40,"Corporate",""
"Information Technology","Communities and Local Government","Queen Elizabeth II Conference Centre","DCLG","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Culture, Media and Sport","Department for Culture Media and Sport","DCMS","Whitehall","Yes",2013,NA,"Corporate",""
"Information Technology","Culture, Media and Sport","Royal Parks","DCMS","Non-Whitehall","No",2013,10,"Corporate",""
"Information Technology","Department for Energy and Climate Change ","Department for Energy and Climate Change","DECC","Whitehall","Yes",2013,10,"Corporate",""
"Information Technology","Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Defra","Non-Whitehall","No",2013,20,"Corporate",""
"Information Technology","Environment, Food and Rural Affairs","Central Science Laboratory","Defra","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Environment, Food and Rural Affairs","Animal Health","Defra","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Environment, Food and Rural Affairs","Centre for Environment Fisheries and Aquaculture Science","Defra","Non-Whitehall","No",2013,40,"Corporate",""
"Information Technology","Environment, Food and Rural Affairs","Department for Environment Food and Rural Affairs","Defra","Whitehall","Yes",2013,80,"Corporate",""
"Information Technology","Environment, Food and Rural Affairs","Food & Environment Research Agency","Defra","Non-Whitehall","No",2013,30,"Corporate",""
"Information Technology","Environment, Food and Rural Affairs","Government Decontamination Services","Defra","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Environment, Food and Rural Affairs","Marine Fisheries Agency","Defra","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Environment, Food and Rural Affairs","OFWAT","Defra","Non-Whitehall","No",2013,10,"Corporate",""
"Information Technology","Environment, Food and Rural Affairs","Rural Payments Agency","Defra","Non-Whitehall","Yes",2013,70,"Corporate",""
"Information Technology","Environment, Food and Rural Affairs","Veterinary Laboratories Agency","Defra","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Defra","Non-Whitehall","No",2013,0,"Corporate",""
"Information Technology","Children, Schools and Families / Department for Education","Department for Education","DfE","Whitehall","Yes",2013,170,"Corporate",""
"Information Technology","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","DfE","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Ofsted","Ofsted","DfE","Non-Whitehall","No",2013,30,"Corporate",""
"Information Technology","Department for Education","Standards and Testing Agency","DfE","Non-Whitehall","Yes",2013,0,"Corporate",""
"Information Technology","Department for Education","Education Funding Agency","DfE","Non-Whitehall","Yes",2013,0,"Corporate",""
"Information Technology","Department for Education","National College","DfE","Non-Whitehall","Yes",2013,0,"Corporate",""
"Information Technology","Department for Education","Teaching Agency","DfE","Non-Whitehall","Yes",2013,0,"Corporate",""
"Information Technology","Department for Education","National College for Teaching and Leadership","DfE","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Information Technology","International Development ","Department for International Development","DfID","Whitehall","Yes",2013,90,"Corporate",""
"Information Technology","Transport","Department for Transport","DfT","Whitehall","Yes",2013,0,"Corporate",""
"Information Technology","Transport","Driver and Vehicle Licensing Agency","DfT","Non-Whitehall","No",2013,0,"Corporate",""
"Information Technology","Transport","Driving Standards Agency","DfT","Non-Whitehall","No",2013,20,"Corporate",""
"Information Technology","Transport","Government Car and Despatch Agency","DfT","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Transport","Highways Agency","DfT","Non-Whitehall","No",2013,40,"Corporate",""
"Information Technology","Transport","Maritime and Coastguard Agency","DfT","Non-Whitehall","No",2013,40,"Corporate",""
"Information Technology","Transport","Office of Rail Regulation","DfT","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Transport","Vehicle and Operator Services Agency","DfT","Non-Whitehall","No",2013,40,"Corporate",""
"Information Technology","Transport","Vehicle Certification Agency","DfT","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Health","Department of Health (excl agencies)","DH","Whitehall","Yes",2013,70,"Corporate",""
"Information Technology","Health","Food Standards Agency","DH","Non-Whitehall","No",2013,10,"Corporate",""
"Information Technology","Health","Meat Hygiene Service","DH","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Health","Medicines and Healthcare Products Regulatory Agency","DH","Non-Whitehall","No",2013,10,"Corporate",""
"Information Technology","Health","National Healthcare Purchasing and Supplies","DH","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Health","NHS Business Services Authority","DH","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Health","Public Health England","DH","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Work and Pensions","Department for Work and Pensions","DWP","Non-Whitehall","Yes",2013,1310,"Corporate",""
"Information Technology","Work and Pensions","Child Maintenance Enforcement Commission","DWP","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Information Technology","Work and Pensions","DWP Corporate and Shared Services  ","DWP","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Information Technology","Work and Pensions","Jobcentre Plus","DWP","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Information Technology","Work and Pensions","Pensions & Disability Carers Service ","DWP","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Information Technology","Work and Pensions","The Health and Safety Executive","DWP","Non-Whitehall","No",2013,20,"Corporate",""
"Information Technology","Work and Pensions","The Rent Service","DWP","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Foreign and Commonwealth Office","Foreign and Commonwealth Office (excl agencies)","FCO","Whitehall","Yes",2013,0,"Corporate",""
"Information Technology","Security and Intelligence Services","Security and Intelligence Services","FCO","Non-Whitehall","No",2013,200,"Corporate",""
"Information Technology","Foreign and Commonwealth Office","Wilton Park Executive Agency","FCO","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Foreign and Commonwealth Office","Foreign and Commonwealth Office Services","FCO","Non-Whitehall","No",2013,100,"Corporate",""
"Information Technology","Government Equalities Office","Government Equalities Office","GEO","Whitehall","Yes",2013,NA,"Corporate",""
"Information Technology","UK Statistics Authority","Census Field","CO","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Chancellor's other departments","Debt Management Office","HMT","Non-Whitehall","Yes",2013,40,"Corporate",""
"Information Technology","Chancellor's other departments","Government Actuary's Department","HMT","Non-Whitehall","Yes",2013,10,"Corporate",""
"Information Technology","HM Revenue and Customs","HM Revenue and Customs","HMRC","Non-Whitehall","Yes",2013,1290,"Corporate",""
"Information Technology","HM Treasury","HM Treasury","HMT","Whitehall","Yes",2013,20,"Corporate",""
"Information Technology","HM Treasury","Office for Budget Responsibility","HMT","Non-Whitehall","No",2013,0,"Corporate",""
"Information Technology","HM Treasury","Asset Protection Agency","HMT","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Chancellor's other departments","National Savings and Investments","HMT","Non-Whitehall","No",2013,10,"Corporate",""
"Information Technology","Chancellor's other departments","Office of Government Commerce","HMT","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Chancellor's other departments","OGC Buying Solutions","HMT","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Chancellor's other departments","Royal Mint","HMT","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","UK Statistics Authority","UK Statistics Authority","CO","Non-Whitehall","No",2013,220,"Corporate",""
"Information Technology","HM Revenue and Customs","Valuation Office","HMRC","Non-Whitehall","Yes",2013,90,"Corporate",""
"Information Technology","Home Office","Criminal Records Bureau","HO","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Home Office","Home Office (excl agencies)","HO","Non-Whitehall","Yes",2013,410,"Corporate",""
"Information Technology","Home Office","Identity and Passport Service","HO","Non-Whitehall","No",2013,120,"Corporate",""
"Information Technology","Home Office","UK Border Agency","HO","Non-Whitehall","Yes",2013,150,"Corporate",""
"Information Technology","Home Office","National Fraud Authority","HO","Non-Whitehall","No",2013,0,"Corporate",""
"Information Technology","Defence","Defence Science and Technology Laboratory","MoD","Non-Whitehall","Yes",2013,0,"Corporate",""
"Information Technology","Defence","Defence Support Group","MoD","Non-Whitehall","Yes",2013,40,"Corporate",""
"Information Technology","Defence","Meteorological Office","MoD","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Information Technology","Defence","Royal Fleet Auxiliary","MoD","Non-Whitehall","Yes",2013,0,"Corporate",""
"Information Technology","Defence","Ministry of Defence","MoD","Non-Whitehall","Yes",2013,0,"Corporate",""
"Information Technology","Defence","UK Hydrographic Office","MoD","Non-Whitehall","Yes",2013,110,"Corporate",""
"Information Technology","Justice","Her Majesty's Courts and Tribunals Service","MoJ","Non-Whitehall","Yes",2013,40,"Corporate",""
"Information Technology","Justice","HM Courts Service","MoJ","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Information Technology","Justice","Land Registry","MoJ","Non-Whitehall","No",2013,360,"Corporate",""
"Information Technology","Justice","Ministry of Justice (excl agencies)","MoJ","Whitehall","Yes",2013,500,"Corporate",""
"Information Technology","Justice","National Archives","MoJ","Non-Whitehall","No",2013,50,"Corporate",""
"Information Technology","Justice","National Offender Management Service","MoJ","Non-Whitehall","Yes",2013,30,"Corporate",""
"Information Technology","Justice","Scotland Office (incl. Office of the Advocate General for Scotland)","MoJ","Non-Whitehall","No",2013,0,"Corporate",""
"Information Technology","Justice","The Office of the Public Guardian","MoJ","Non-Whitehall","Yes",2013,0,"Corporate",""
"Information Technology","Justice","Tribunals Service","MoJ","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Information Technology","Justice","UK Supreme Court","MoJ","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Justice","Wales Office","MoJ","Non-Whitehall","No",2013,0,"Corporate",""
"Information Technology","Justice","Legal Aid Agency","MoJ","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Information Technology","Northern Ireland Office","Northern Ireland Office","NIO","Whitehall","Yes",2013,0,"Corporate",""
"Information Technology","Scottish Government","Crown Office and Procurator Fiscal","Scot Gov","Non-Whitehall","No",2013,30,"Corporate",""
"Information Technology","Scottish Government","Disclosure Scotland","Scot Gov","Non-Whitehall","No",2013,0,"Corporate",""
"Information Technology","Scottish Government","Fisheries Research Services","Scot Gov","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Scottish Government","General Register Scotland","Scot Gov","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Scottish Government","GROS Census Field","Scot Gov","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Scottish Government","Historic Scotland","Scot Gov","Non-Whitehall","No",2013,10,"Corporate",""
"Information Technology","Scottish Government","HM Inspectorate of Education","Scot Gov","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Scottish Government","Mental Health Tribunal Scotland","Scot Gov","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Scottish Government","National Records of Scotland","Scot Gov","Non-Whitehall","No",2013,0,"Corporate",""
"Information Technology","Scottish Government","National Archive for Scotland","Scot Gov","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Scottish Government","Office for the Scottish Charity Regulator","Scot Gov","Non-Whitehall","No",2013,0,"Corporate",""
"Information Technology","Scottish Government","Accountant in Bankruptcy","Scot Gov","Non-Whitehall","No",2013,0,"Corporate",""
"Information Technology","Scottish Government","Registers of Scotland","Scot Gov","Non-Whitehall","No",2013,30,"Corporate",""
"Information Technology","Scottish Government","Scottish Court Service","Scot Gov","Non-Whitehall","No",2013,30,"Corporate",""
"Information Technology","Scottish Government","Scottish Fisheries Protection Agency","Scot Gov","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Scottish Government","Scottish Government (excl agencies)","Scot Gov","Non-Whitehall","No",2013,0,"Corporate",""
"Information Technology","Scottish Government","Scottish Housing Regulator","Scot Gov","Non-Whitehall","No",2013,0,"Corporate",""
"Information Technology","Scottish Government","Scottish Law Commission","Scot Gov","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Scottish Government","Scottish Prison Service Headquarters","Scot Gov","Non-Whitehall","No",2013,20,"Corporate",""
"Information Technology","Scottish Government","Scottish Public Pensions Agency","Scot Gov","Non-Whitehall","No",2013,0,"Corporate",""
"Information Technology","Scottish Government","Social Work Inspection Agency","Scot Gov","Non-Whitehall","No",2013,NA,"Corporate",""
"Information Technology","Scottish Government","Student Awards Agency","Scot Gov","Non-Whitehall","No",2013,0,"Corporate",""
