"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87"
": Loaned from other CS organisation (n=2,270)","62%","82%","78%","70%","83%","52%","82%","72%","39%","47%","95%","84%","83%","66%","80%","82%","74%","80%","74%","82%","85%","64%","80%","82%","64%","64%","66%","39%","87%","84%","80%","61%","53%","46%","47%","87%","90%","74%","76%","82%","69%","74%","87%","68%","61%","64%","41%","43%","33%","49%","61%","54%","40%","50%","33%","30%","64%","43%","51%","69%","61%","38%","51%","48%","54%","66%","38%","89%","75%","74%","69%","69%","8%","21%","41%","30%","94%","67%","78%","71%","76%","64%","49%","7%","6%",""
": Temporary/agency worker (n=2,435)","64%","67%","78%","66%","78%","39%","80%","81%","32%","48%","88%","66%","71%","50%","60%","80%","72%","81%","70%","74%","73%","61%","77%","76%","58%","63%","64%","46%","87%","79%","67%","49%","40%","31%","35%","84%","87%","68%","80%","88%","73%","79%","91%","78%","76%","81%","39%","22%","35%","51%","60%","53%","46%","50%","41%","38%","59%","37%","43%","65%","64%","42%","56%","52%","47%","55%","26%","93%","64%","61%","61%","77%","7%","16%","33%","44%","55%","38%","58%","61%","66%","59%","55%","8%","7%",""
": Contractor/freelancer (n=1,167)","63%","79%","80%","64%","77%","33%","80%","75%","43%","42%","94%","80%","81%","62%","76%","82%","75%","83%","66%","76%","80%","61%","73%","77%","55%","55%","58%","35%","80%","78%","73%","40%","35%","25%","30%","83%","86%","73%","77%","84%","65%","74%","93%","66%","71%","71%","50%","34%","44%","44%","47%","46%","41%","43%","31%","30%","53%","38%","46%","66%","55%","48%","50%","49%","45%","52%","28%","91%","71%","68%","66%","74%","7%","18%","39%","37%","55%","37%","56%","72%","77%","66%","56%","7%","9%",""
": Secondee from outside CS (n=1,185)","63%","84%","79%","70%","82%","48%","84%","76%","47%","45%","95%","87%","86%","69%","82%","82%","74%","81%","72%","80%","85%","67%","78%","82%","63%","62%","68%","40%","86%","82%","77%","58%","49%","35%","48%","88%","90%","78%","81%","86%","72%","76%","92%","70%","68%","66%","52%","43%","44%","49%","54%","52%","41%","46%","32%","26%","58%","44%","47%","67%","57%","45%","52%","48%","48%","57%","30%","93%","76%","73%","63%","72%","5%","16%","39%","40%","61%","41%","63%","72%","79%","69%","56%","6%","7%",""
"Occupation of main role - major groups [H08]: Operations (n=158,154)","53%","68%","80%","66%","78%","45%","72%","72%","28%","35%","85%","75%","71%","48%","59%","81%","78%","81%","66%","75%","75%","64%","68%","76%","68%","62%","61%","43%","83%","80%","72%","61%","47%","37%","36%","76%","84%","58%","70%","85%","66%","77%","85%","64%","61%","68%","27%","32%","26%","35%","40%","37%","37%","30%","28%","24%","51%","30%","36%","45%","37%","42%","38%","36%","36%","49%","36%","86%","63%","58%","56%","80%","10%","10%","19%","61%","86%","65%","62%","61%","68%","58%","51%","12%","11%",""
": Corporate Services (n=47,213)","56%","76%","83%","66%","79%","51%","75%","71%","33%","39%","90%","80%","75%","59%","75%","85%","80%","83%","66%","80%","81%","62%","72%","77%","63%","60%","62%","41%","82%","80%","75%","63%","51%","44%","48%","79%","84%","64%","73%","81%","66%","73%","86%","67%","59%","67%","34%","36%","29%","40%","48%","42%","41%","37%","27%","25%","56%","35%","41%","53%","42%","48%","40%","38%","41%","52%","34%","88%","70%","67%","66%","77%","7%","11%","26%","55%","89%","67%","66%","62%","69%","59%","50%","11%","10%",""
": Policy (n=17,102)","59%","80%","86%","70%","82%","53%","78%","71%","32%","44%","93%","84%","79%","66%","80%","88%","84%","85%","71%","83%","85%","65%","78%","82%","65%","63%","65%","42%","86%","82%","78%","61%","52%","48%","49%","83%","88%","70%","74%","81%","70%","75%","87%","67%","55%","61%","34%","35%","28%","46%","58%","51%","39%","45%","28%","23%","62%","39%","43%","62%","49%","50%","44%","42%","49%","62%","39%","87%","72%","73%","76%","74%","6%","14%","33%","46%","93%","65%","71%","66%","72%","61%","48%","9%","9%",""
": Specialist services (n=27,836)","55%","76%","77%","64%","77%","49%","74%","70%","31%","35%","92%","82%","78%","55%","72%","81%","74%","78%","64%","78%","78%","58%","70%","75%","60%","57%","61%","36%","83%","79%","71%","58%","51%","41%","45%","78%","84%","62%","71%","82%","65%","73%","88%","63%","56%","63%","32%","34%","27%","37%","44%","41%","35%","34%","24%","20%","52%","31%","37%","55%","42%","45%","39%","35%","39%","49%","29%","88%","67%","62%","62%","76%","8%","12%","31%","49%","85%","56%","63%","62%","70%","58%","49%","10%","10%",""
": Other (n=14,756)","50%","68%","70%","57%","71%","40%","65%","65%","25%","29%","86%","76%","70%","46%","61%","72%","67%","71%","57%","69%","70%","52%","61%","69%","55%","51%","53%","34%","78%","73%","64%","50%","42%","32%","35%","68%","77%","53%","61%","77%","58%","67%","83%","59%","53%","57%","26%","27%","23%","29%","35%","32%","31%","26%","20%","17%","42%","24%","29%","47%","31%","41%","34%","29%","28%","39%","24%","84%","59%","55%","50%","76%","11%","11%","22%","55%","80%","61%","54%","58%","66%","56%","50%","16%","15%",""
"Development scheme [H09]: Not on a development scheme(n=255,315)","53%","70%","80%","65%","78%","46%","72%","71%","29%","35%","87%","77%","73%","51%","64%","82%","77%","80%","65%","76%","77%","62%","69%","76%","65%","60%","61%","41%","83%","79%","72%","60%","47%","38%","39%","76%","84%","59%","70%","83%","66%","75%","85%","64%","59%","66%","29%","32%","26%","36%","42%","38%","37%","32%","27%","23%","51%","31%","37%","48%","38%","43%","38%","36%","37%","49%","34%","87%","64%","60%","59%","79%","9%","11%","23%","57%","87%","64%","63%","61%","68%","58%","50%","12%","11%",""
": Civil Service Fast Stream schemes  (n=2,285)","66%","79%","84%","73%","83%","70%","84%","75%","40%","53%","92%","81%","80%","63%","79%","88%","82%","84%","77%","84%","87%","69%","82%","84%","69%","69%","70%","37%","87%","83%","78%","72%","66%","73%","68%","88%","89%","77%","81%","82%","73%","74%","85%","71%","67%","72%","42%","45%","34%","57%","68%","60%","45%","58%","37%","37%","68%","43%","54%","73%","68%","52%","59%","56%","57%","67%","36%","89%","78%","74%","78%","76%","7%","16%","39%","38%","91%","51%","74%","72%","74%","64%","45%","8%","8%",""
": Other development scheme(n=5,666)","62%","79%","88%","74%","83%","75%","81%","75%","36%","49%","93%","84%","81%","62%","74%","89%","86%","88%","76%","83%","85%","73%","79%","83%","73%","72%","71%","47%","87%","84%","79%","79%","77%","68%","74%","84%","88%","71%","80%","85%","73%","79%","86%","70%","61%","68%","36%","42%","31%","50%","58%","53%","48%","47%","35%","35%","66%","42%","51%","64%","54%","55%","53%","52%","50%","63%","41%","90%","74%","69%","74%","81%","5%","8%","27%","60%","91%","66%","72%","66%","73%","62%","50%","9%","9%",""
"Sex [J01]: Male (n=113,109)","53%","71%","78%","65%","77%","46%","73%","70%","26%","35%","87%","78%","72%","53%","66%","80%","75%","78%","65%","76%","77%","60%","69%","76%","63%","58%","60%","42%","83%","79%","70%","57%","47%","40%","41%","76%","84%","60%","70%","82%","65%","73%","86%","62%","58%","65%","26%","29%","23%","34%","41%","39%","36%","32%","25%","22%","51%","32%","39%","49%","38%","45%","37%","35%","36%","47%","30%","86%","65%","60%","61%","75%","10%","12%","24%","55%","87%","64%","62%","59%","67%","57%","51%","11%","10%",""
": Female (n=125,295)","57%","73%","84%","69%","81%","51%","77%","75%","35%","40%","90%","79%","76%","54%","67%","86%","82%","84%","70%","79%","79%","68%","72%","79%","70%","66%","66%","44%","85%","82%","77%","66%","53%","42%","42%","81%","86%","65%","75%","87%","70%","80%","87%","70%","63%","71%","34%","39%","32%","42%","47%","43%","42%","37%","32%","27%","56%","34%","40%","53%","44%","46%","44%","42%","42%","55%","41%","89%","69%","65%","62%","84%","7%","9%","22%","63%","87%","65%","67%","66%","73%","62%","51%","11%","10%",""
"Age [J02]: Aged 16-34 (n=52,923)","58%","69%","81%","69%","79%","54%","77%","75%","34%","42%","86%","72%","70%","52%","66%","84%","78%","81%","71%","81%","81%","65%","74%","79%","67%","66%","66%","41%","84%","80%","74%","63%","54%","48%","49%","81%","86%","63%","77%","85%","69%","76%","87%","69%","64%","72%","33%","39%","31%","45%","52%","47%","41%","41%","32%","30%","56%","35%","43%","59%","52%","43%","45%","43%","41%","52%","32%","90%","69%","63%","62%","82%","8%","14%","31%","47%","80%","52%","65%","65%","69%","59%","51%","11%","9%",""
": Aged 35-44 (n=60,476)","56%","73%","81%","68%","80%","49%","75%","72%","32%","39%","88%","79%","74%","55%","68%","83%","79%","82%","68%","79%","80%","65%","72%","78%","67%","64%","64%","43%","84%","81%","75%","61%","51%","42%","44%","79%","85%","62%","73%","84%","67%","76%","85%","66%","59%","67%","32%","35%","29%","40%","46%","42%","40%","36%","29%","26%","55%","34%","40%","52%","43%","47%","42%","39%","40%","53%","37%","88%","68%","63%","63%","80%","7%","10%","23%","59%","87%","63%","65%","61%","69%","59%","50%","12%","11%",""
": Aged 45-54 (n=79,941)","54%","74%","82%","66%","80%","47%","74%","72%","30%","36%","89%","82%","76%","55%","67%","83%","79%","82%","66%","76%","78%","64%","70%","77%","66%","61%","62%","44%","84%","81%","74%","62%","49%","39%","40%","78%","85%","62%","71%","85%","67%","77%","85%","65%","59%","65%","30%","32%","27%","37%","42%","39%","39%","33%","27%","23%","53%","33%","38%","48%","37%","47%","40%","37%","39%","52%","38%","87%","66%","63%","61%","79%","8%","8%","16%","68%","89%","70%","65%","61%","69%","59%","50%","11%","11%",""
": Aged 55+ (n=40,346)","54%","73%","80%","65%","79%","44%","75%","74%","28%","34%","90%","81%","78%","51%","64%","82%","78%","81%","65%","75%","75%","63%","68%","77%","67%","59%","62%","43%","85%","81%","72%","63%","45%","34%","34%","78%","87%","64%","70%","86%","68%","78%","88%","67%","63%","70%","27%","31%","25%","33%","37%","36%","36%","29%","26%","20%","52%","30%","37%","47%","35%","46%","38%","35%","36%","49%","35%","87%","64%","62%","59%","78%","9%","11%","23%","57%","90%","73%","65%","67%","74%","65%","55%","9%","9%",""
"Ethnicity - binary [J03]: White (n=216,883)","54%","72%","81%","67%","79%","48%","75%","72%","31%","37%","88%","79%","74%","53%","66%","83%","79%","81%","67%","78%","78%","64%","71%","77%","66%","61%","63%","42%","84%","81%","74%","62%","49%","40%","40%","79%","85%","62%","73%","84%","67%","76%","86%","66%","60%","68%","31%","35%","28%","37%","43%","40%","38%","33%","27%","23%","53%","32%","39%","49%","39%","45%","39%","37%","38%","51%","35%","88%","67%","62%","60%","80%","8%","10%","23%","59%","88%","66%","66%","63%","70%","59%","51%","11%","10%",""
": BME (n=22,776)","63%","73%","82%","68%","78%","54%","74%","77%","29%","45%","89%","77%","76%","56%","64%","83%","80%","84%","70%","72%","75%","67%","69%","78%","68%","69%","63%","49%","82%","79%","74%","63%","57%","45%","50%","75%","83%","67%","72%","87%","74%","80%","87%","72%","65%","70%","29%","30%","26%","49%","52%","47%","47%","43%","40%","35%","59%","37%","39%","65%","56%","54%","53%","51%","46%","53%","41%","88%","62%","63%","67%","81%","8%","10%","22%","60%","74%","54%","58%","62%","70%","62%","46%","14%","13%",""
"Ethnicity - major group [J03]: White (n=216,883)","54%","72%","81%","67%","79%","48%","75%","72%","31%","37%","88%","79%","74%","53%","66%","83%","79%","81%","67%","78%","78%","64%","71%","77%","66%","61%","63%","42%","84%","81%","74%","62%","49%","40%","40%","79%","85%","62%","73%","84%","67%","76%","86%","66%","60%","68%","31%","35%","28%","37%","43%","40%","38%","33%","27%","23%","53%","32%","39%","49%","39%","45%","39%","37%","38%","51%","35%","88%","67%","62%","60%","80%","8%","10%","23%","59%","88%","66%","66%","63%","70%","59%","51%","11%","10%",""
": Mixed (n=3,319)","59%","72%","80%","68%","79%","51%","74%","72%","32%","41%","88%","77%","75%","55%","66%","81%","78%","81%","70%","78%","78%","65%","72%","79%","66%","65%","64%","44%","83%","80%","74%","60%","53%","44%","47%","76%","83%","63%","72%","83%","68%","75%","85%","66%","61%","68%","32%","34%","29%","44%","49%","45%","41%","39%","32%","29%","55%","35%","40%","58%","50%","48%","47%","45%","43%","54%","38%","87%","65%","63%","65%","79%","9%","13%","26%","52%","80%","55%","61%","63%","71%","61%","47%","14%","14%",""
": Asian (n=11,620)","64%","74%","83%","68%","78%","54%","75%","77%","28%","45%","89%","78%","77%","58%","65%","83%","81%","84%","70%","71%","75%","67%","68%","77%","68%","69%","62%","50%","81%","78%","74%","63%","57%","45%","49%","76%","83%","68%","74%","87%","75%","81%","87%","74%","66%","71%","29%","30%","26%","48%","52%","47%","46%","43%","42%","37%","59%","39%","39%","67%","58%","56%","55%","53%","46%","51%","40%","89%","62%","64%","70%","82%","7%","10%","21%","62%","74%","55%","58%","62%","69%","61%","44%","14%","12%",""
": Black (n=6,511)","62%","71%","84%","68%","80%","55%","72%","77%","26%","45%","89%","74%","76%","54%","62%","84%","81%","86%","70%","71%","74%","67%","68%","79%","70%","71%","62%","51%","82%","81%","76%","63%","58%","47%","51%","74%","81%","66%","68%","88%","76%","81%","87%","73%","66%","70%","27%","28%","25%","51%","54%","47%","49%","42%","41%","33%","61%","34%","36%","64%","56%","52%","53%","51%","48%","55%","43%","87%","59%","61%","63%","80%","9%","10%","20%","61%","73%","53%","56%","60%","72%","64%","49%","15%","14%",""
": Other ethnic group (n=1,326)","66%","73%","81%","68%","77%","55%","75%","76%","34%","51%","88%","79%","74%","57%","64%","82%","78%","83%","70%","72%","73%","67%","69%","76%","67%","68%","61%","52%","81%","79%","71%","61%","59%","44%","53%","73%","83%","69%","74%","87%","74%","80%","89%","71%","65%","68%","35%","36%","31%","55%","54%","54%","51%","51%","46%","42%","58%","44%","49%","68%","62%","62%","58%","55%","53%","58%","46%","87%","64%","65%","67%","81%","9%","10%","19%","61%","67%","51%","56%","63%","72%","62%","48%","16%","14%",""
"Long-term health [J04]: No long-term limiting illness or condition (n=227,203)","55%","73%","81%","67%","80%","49%","75%","73%","31%","38%","89%","79%","75%","54%","67%","83%","79%","82%","67%","78%","79%","64%","71%","78%","66%","62%","63%","43%","84%","81%","74%","62%","50%","41%","42%","79%","86%","63%","73%","85%","68%","77%","87%","67%","61%","69%","31%","34%","28%","39%","45%","41%","39%","35%","29%","25%","54%","33%","39%","51%","41%","46%","41%","38%","39%","52%","36%","88%","67%","63%","62%","80%","8%","10%","23%","59%","87%","65%","66%","64%","72%","61%","52%","10%","9%",""
": Long-term limiting illness or condition  (n=20,700)","47%","63%","75%","59%","72%","38%","62%","64%","24%","28%","82%","72%","66%","40%","54%","77%","73%","75%","60%","70%","69%","57%","61%","69%","62%","54%","52%","37%","77%","74%","66%","52%","42%","29%","30%","65%","75%","49%","58%","78%","58%","69%","79%","56%","52%","56%","23%","26%","21%","28%","33%","30%","31%","24%","22%","18%","43%","24%","29%","39%","30%","38%","32%","30%","29%","43%","30%","79%","54%","52%","52%","75%","15%","11%","19%","55%","87%","64%","52%","44%","53%","42%","39%","27%","23%",""
"Caring status [J05]: Not a carer(n=194,596)","55%","72%","81%","67%","79%","49%","75%","73%","31%","38%","88%","78%","74%","54%","67%","83%","78%","81%","67%","78%","79%","63%","71%","78%","66%","62%","63%","42%","84%","80%","74%","62%","49%","41%","42%","79%","85%","62%","73%","84%","68%","76%","86%","66%","61%","69%","31%","35%","28%","38%","45%","41%","38%","34%","28%","24%","54%","33%","39%","51%","41%","45%","40%","38%","39%","51%","35%","88%","67%","63%","61%","79%","8%","11%","24%","57%","86%","64%","65%","64%","71%","61%","52%","10%","10%",""
": Carer for others(n=56,905)","53%","70%","80%","65%","78%","45%","70%","70%","27%","34%","88%","79%","73%","49%","61%","82%","78%","81%","65%","75%","74%","63%","67%","75%","66%","60%","59%","42%","82%","79%","72%","59%","48%","36%","37%","73%","82%","58%","67%","83%","65%","75%","84%","63%","57%","62%","26%","30%","25%","35%","41%","37%","37%","31%","27%","22%","50%","30%","34%","46%","36%","45%","38%","36%","37%","50%","36%","85%","62%","59%","58%","79%","10%","10%","20%","61%","88%","68%","61%","55%","65%","53%","45%","16%","15%",""
"Childcare status [J06]: No childcare responsibilities (n=165,273)","54%","71%","80%","66%","78%","47%","74%","72%","30%","36%","88%","78%","73%","52%","65%","82%","78%","81%","66%","76%","77%","63%","69%","77%","66%","61%","62%","41%","83%","80%","73%","61%","48%","40%","40%","78%","85%","61%","71%","84%","67%","76%","86%","65%","60%","67%","30%","33%","27%","37%","43%","39%","37%","33%","27%","23%","53%","32%","38%","49%","40%","43%","39%","37%","38%","50%","34%","87%","66%","62%","60%","79%","9%","11%","24%","56%","87%","65%","64%","62%","68%","59%","51%","11%","10%",""
": Has childcare responsibilities (n=85,962)","55%","73%","81%","67%","80%","48%","74%","72%","30%","38%","89%","79%","75%","54%","66%","83%","79%","82%","67%","79%","79%","65%","71%","77%","66%","62%","62%","44%","84%","81%","75%","61%","50%","40%","42%","77%","85%","61%","72%","84%","67%","76%","86%","66%","60%","67%","30%","34%","27%","39%","45%","41%","40%","35%","29%","25%","54%","33%","39%","51%","41%","47%","41%","38%","40%","52%","37%","88%","66%","62%","62%","80%","8%","9%","21%","63%","86%","64%","64%","62%","72%","60%","49%","13%","11%",""
"Sexual identity [J07]: Heterosexual/straight (n=223,402)","55%","72%","81%","67%","80%","49%","75%","73%","31%","38%","89%","79%","75%","54%","66%","83%","79%","82%","67%","78%","78%","64%","71%","78%","67%","62%","63%","43%","84%","81%","74%","62%","50%","41%","42%","79%","85%","62%","73%","85%","68%","77%","86%","67%","61%","68%","30%","34%","28%","39%","45%","41%","39%","35%","29%","24%","54%","33%","39%","51%","41%","46%","41%","39%","39%","52%","36%","88%","67%","63%","62%","80%","8%","10%","23%","59%","87%","65%","66%","63%","71%","60%","51%","11%","10%",""
": Gay, lesbian or bisexual (n=7,524)","54%","69%","79%","65%","77%","47%","72%","69%","30%","37%","85%","74%","70%","51%","65%","81%","77%","78%","66%","76%","76%","61%","68%","75%","65%","61%","61%","41%","82%","77%","71%","58%","49%","40%","42%","76%","82%","60%","71%","80%","64%","72%","84%","62%","58%","64%","30%","32%","27%","37%","44%","40%","37%","35%","28%","26%","52%","33%","39%","51%","42%","44%","40%","38%","38%","50%","34%","84%","64%","61%","62%","76%","13%","13%","25%","50%","85%","62%","61%","59%","64%","55%","46%","17%","16%",""
": Other (n=1,541)","46%","59%","68%","56%","69%","39%","59%","62%","24%","29%","78%","67%","59%","40%","51%","69%","65%","68%","57%","65%","67%","51%","59%","67%","57%","51%","49%","33%","75%","71%","59%","48%","42%","30%","34%","62%","72%","48%","55%","73%","55%","63%","78%","53%","50%","58%","24%","26%","23%","29%","34%","31%","30%","25%","24%","22%","40%","25%","29%","41%","32%","37%","31%","29%","32%","40%","27%","76%","50%","48%","46%","70%","18%","12%","20%","50%","79%","58%","45%","47%","53%","46%","42%","23%","21%",""
"Religious identity [J08]: No religion(n=84,120)","53%","70%","80%","66%","78%","47%","74%","71%","31%","36%","86%","76%","71%","51%","66%","82%","77%","80%","66%","79%","79%","62%","71%","77%","65%","60%","62%","39%","83%","79%","73%","60%","47%","40%","40%","78%","85%","60%","72%","83%","65%","74%","85%","63%","60%","67%","30%","34%","27%","36%","44%","39%","36%","32%","26%","23%","52%","32%","40%","47%","39%","41%","37%","35%","37%","50%","32%","87%","67%","62%","60%","78%","9%","12%","26%","53%","87%","62%","64%","60%","66%","57%","52%","11%","10%",""
": Christian(n=131,231)","56%","74%","82%","68%","81%","50%","76%","74%","32%","39%","90%","81%","77%","55%","67%","84%","80%","83%","68%","78%","78%","66%","71%","78%","68%","63%","64%","45%","85%","82%","75%","64%","51%","41%","42%","80%","86%","64%","74%","86%","69%","78%","87%","68%","62%","69%","31%","35%","29%","40%","45%","42%","41%","36%","29%","25%","55%","34%","39%","53%","42%","48%","43%","40%","40%","53%","38%","89%","67%","64%","62%","81%","7%","9%","21%","63%","88%","68%","67%","65%","73%","62%","51%","11%","10%",""
": Buddhist(n=1,389)","54%","67%","76%","63%","73%","45%","66%","67%","28%","37%","83%","73%","69%","50%","60%","77%","75%","77%","65%","72%","71%","61%","65%","72%","64%","60%","57%","41%","78%","74%","67%","54%","49%","37%","41%","67%","77%","57%","64%","79%","60%","73%","82%","59%","55%","61%","28%","30%","25%","37%","42%","40%","39%","35%","29%","25%","50%","33%","36%","55%","42%","45%","42%","41%","40%","48%","33%","82%","57%","58%","58%","74%","13%","12%","25%","50%","75%","56%","52%","58%","63%","55%","45%","19%","17%",""
": Hindu(n=3,539)","64%","74%","83%","68%","78%","56%","76%","78%","25%","45%","90%","80%","78%","60%","64%","84%","81%","84%","70%","70%","75%","67%","67%","78%","69%","70%","63%","49%","81%","77%","75%","66%","58%","47%","51%","76%","83%","70%","74%","87%","75%","81%","88%","74%","67%","72%","27%","27%","22%","47%","51%","46%","45%","42%","43%","38%","60%","40%","39%","67%","58%","57%","56%","53%","45%","52%","42%","89%","64%","66%","73%","82%","6%","9%","19%","66%","76%","57%","59%","61%","69%","61%","41%","12%","11%",""
": Jewish(n=815)","54%","70%","75%","63%","76%","43%","70%","68%","26%","35%","86%","75%","72%","50%","65%","77%","72%","76%","65%","77%","74%","58%","67%","74%","61%","58%","57%","40%","80%","79%","68%","56%","43%","35%","37%","72%","79%","60%","69%","80%","65%","70%","83%","60%","56%","63%","27%","27%","24%","37%","42%","38%","31%","33%","25%","21%","52%","33%","38%","54%","41%","45%","38%","37%","38%","51%","33%","83%","64%","59%","59%","71%","11%","14%","29%","45%","86%","60%","60%","60%","69%","59%","46%","16%","17%",""
": Muslim(n=5,725)","66%","73%","82%","69%","79%","54%","76%","79%","32%","49%","89%","79%","77%","57%","63%","82%","80%","84%","72%","71%","75%","68%","70%","77%","69%","70%","63%","55%","83%","81%","73%","63%","57%","45%","51%","75%","85%","69%","76%","88%","77%","83%","89%","75%","67%","72%","33%","33%","29%","54%","54%","51%","50%","47%","46%","41%","60%","42%","44%","70%","63%","61%","59%","56%","50%","54%","43%","89%","62%","65%","69%","83%","8%","9%","19%","65%","70%","52%","58%","62%","69%","60%","46%","15%","13%",""
": Sikh(n=1,433)","59%","69%","80%","66%","75%","49%","72%","73%","26%","39%","87%","75%","74%","52%","60%","81%","78%","81%","68%","73%","74%","65%","67%","75%","67%","66%","60%","46%","79%","76%","71%","60%","52%","43%","43%","74%","81%","62%","71%","84%","70%","77%","82%","69%","62%","68%","26%","28%","24%","41%","45%","40%","39%","36%","34%","30%","54%","33%","34%","57%","49%","49%","49%","47%","41%","49%","37%","87%","61%","60%","65%","81%","8%","10%","18%","64%","80%","60%","60%","60%","69%","58%","45%","14%","13%",""
": Any other religion(n=4,221)","49%","63%","74%","61%","73%","41%","64%","66%","23%","30%","82%","71%","65%","43%","55%","75%","71%","74%","62%","71%","72%","58%","64%","72%","62%","58%","55%","39%","78%","75%","66%","53%","44%","32%","34%","67%","77%","51%","61%","79%","59%","71%","81%","58%","53%","59%","22%","26%","21%","30%","37%","33%","32%","26%","24%","20%","43%","24%","31%","43%","34%","39%","34%","31%","30%","42%","28%","82%","57%","52%","50%","77%","14%","12%","20%","54%","83%","62%","52%","53%","61%","51%","45%","20%","19%",""
