"variable","dimension","split","value","measure","questiontext","split_n","dim_id","eng_score_component"
"b34","Caring status","Carer for others",0.63,"B34","I have the tools I need to do my job effectively",56905,"J05",FALSE
"b34","Childcare status","No childcare responsibilities",0.65,"B34","I have the tools I need to do my job effectively",165273,"J06",FALSE
"b34","Childcare status","Has childcare responsibilities",0.66,"B34","I have the tools I need to do my job effectively",85962,"J06",FALSE
"b34","Sexual identity","Heterosexual/straight",0.67,"B34","I have the tools I need to do my job effectively",223402,"J07",FALSE
"b34","Sexual identity","Gay, lesbian or bisexual",0.62,"B34","I have the tools I need to do my job effectively",7524,"J07",FALSE
"b34","Sexual identity","Other",0.53,"B34","I have the tools I need to do my job effectively",1541,"J07",FALSE
"b34","Religious identity","No religion",0.63,"B34","I have the tools I need to do my job effectively",84120,"J08",FALSE
"b34","Religious identity","Christian",0.68,"B34","I have the tools I need to do my job effectively",131231,"J08",FALSE
"b34","Religious identity","Buddhist",0.59,"B34","I have the tools I need to do my job effectively",1389,"J08",FALSE
"b34","Religious identity","Hindu",0.74,"B34","I have the tools I need to do my job effectively",3539,"J08",FALSE
"b34","Religious identity","Jewish",0.6,"B34","I have the tools I need to do my job effectively",815,"J08",FALSE
"b34","Religious identity","Muslim",0.75,"B34","I have the tools I need to do my job effectively",5725,"J08",FALSE
"b34","Religious identity","Sikh",0.69,"B34","I have the tools I need to do my job effectively",1433,"J08",FALSE
"b34","Religious identity","Any other religion",0.58,"B34","I have the tools I need to do my job effectively",4221,"J08",FALSE
"b35","Grade","AO/AA",0.65,"B35","I have an acceptable workload",77720,"",FALSE
"b35","Grade","EO",0.59,"B35","I have an acceptable workload",72857,"",FALSE
"b35","Grade","SEO/HEO",0.55,"B35","I have an acceptable workload",68329,"",FALSE
"b35","Grade","G6/G7",0.52,"B35","I have an acceptable workload",27956,"",FALSE
"b35","Grade","SCS",0.58,"B35","I have an acceptable workload",4193,"",FALSE
"b35","Country usually work in","England",0.58,"B35","I have an acceptable workload",210200,"H01",FALSE
"b35","Country usually work in","Scotland",0.63,"B35","I have an acceptable workload",25648,"H01",FALSE
"b35","Country usually work in","Wales",0.64,"B35","I have an acceptable workload",18642,"H01",FALSE
"b35","Country usually work in","Northern Ireland",0.63,"B35","I have an acceptable workload",1476,"H01",FALSE
"b35","Country usually work in","Overseas",0.63,"B35","I have an acceptable workload",12861,"H01",FALSE
"b35","Region of England usually work in","East Midlands",0.57,"B35","I have an acceptable workload",12102,"H1A",FALSE
"b35","Region of England usually work in","East of England",0.58,"B35","I have an acceptable workload",11063,"H1A",FALSE
"b35","Region of England usually work in","London",0.57,"B35","I have an acceptable workload",51504,"H1A",FALSE
"b35","Region of England usually work in","North East England",0.62,"B35","I have an acceptable workload",18532,"H1A",FALSE
"b35","Region of England usually work in","North West England",0.61,"B35","I have an acceptable workload",28406,"H1A",FALSE
"b35","Region of England usually work in","South East England",0.57,"B35","I have an acceptable workload",25591,"H1A",FALSE
"b35","Region of England usually work in","South West England",0.56,"B35","I have an acceptable workload",27808,"H1A",FALSE
"b35","Region of England usually work in","West Midlands",0.57,"B35","I have an acceptable workload",15854,"H1A",FALSE
"b35","Region of England usually work in","Yorkshire and the Humber",0.58,"B35","I have an acceptable workload",17330,"H1A",FALSE
"b35","Time in current job","Less than 1 year",0.64,"B35","I have an acceptable workload",58890,"H02",FALSE
"b35","Time in current job","1 year but less than 3 years",0.59,"B35","I have an acceptable workload",61428,"H02",FALSE
"b35","Time in current job","3 years but less than 5 years",0.58,"B35","I have an acceptable workload",38332,"H02",FALSE
"b35","Time in current job","5 years but less than 10 years",0.58,"B35","I have an acceptable workload",53962,"H02",FALSE
"b35","Time in current job","10 years or more",0.57,"B35","I have an acceptable workload",53584,"H02",FALSE
"b35","Time in organisation (or predecessor)","Less than 1 year",0.72,"B35","I have an acceptable workload",16436,"H03",FALSE
"b35","Time in organisation (or predecessor)","1 year but less than 3 years",0.63,"B35","I have an acceptable workload",17550,"H03",FALSE
"b35","Time in organisation (or predecessor)","3 years but less than 5 years",0.59,"B35","I have an acceptable workload",20460,"H03",FALSE
"b35","Time in organisation (or predecessor)","5 years but less than 10 years",0.58,"B35","I have an acceptable workload",48419,"H03",FALSE
"b35","Time in organisation (or predecessor)","10 years or more",0.58,"B35","I have an acceptable workload",147675,"H03",FALSE
"b35","Time in Civil Service","Less than 1 year",0.71,"B35","I have an acceptable workload",14876,"H04",FALSE
"b35","Time in Civil Service","1 year but less than 3 years",0.65,"B35","I have an acceptable workload",12249,"H04",FALSE
"b35","Time in Civil Service","3 years but less than 5 years",0.61,"B35","I have an acceptable workload",17299,"H04",FALSE
"b35","Time in Civil Service","5 years but less than 10 years",0.58,"B35","I have an acceptable workload",44849,"H04",FALSE
"b35","Time in Civil Service","10 years or more",0.57,"B35","I have an acceptable workload",154217,"H04",FALSE
"b35","Manager status","Non-manager",0.62,"B35","I have an acceptable workload",185009,"H05",FALSE
"b35","Manager status","Manager",0.53,"B35","I have an acceptable workload",81009,"H05",FALSE
"b35","Working pattern","Full-time",0.58,"B35","I have an acceptable workload",216469,"H06",FALSE
"b35","Working pattern","Part-time",0.64,"B35","I have an acceptable workload",50954,"H06",FALSE
"b35","Working pattern","Job-share",0.58,"B35","I have an acceptable workload",821,"H06",FALSE
"b35","Employment status","Permanent contract",0.58,"B35","I have an acceptable workload",251751,"H07",FALSE
"b35","Employment status","Fixed term contract",0.72,"B35","I have an acceptable workload",9840,"H07",FALSE
"b35","Employment status","Loaned from other CS organisation",0.61,"B35","I have an acceptable workload",2270,"H07",FALSE
"b35","Employment status","Temporary/agency worker",0.76,"B35","I have an acceptable workload",2435,"H07",FALSE
"b35","Employment status","Contractor/freelancer",0.71,"B35","I have an acceptable workload",1167,"H07",FALSE
"b35","Employment status","Secondee from outside CS",0.68,"B35","I have an acceptable workload",1185,"H07",FALSE
"b35","Occupation of main role - major groups","Operations",0.61,"B35","I have an acceptable workload",158154,"H08",FALSE
"b35","Occupation of main role - major groups","Corporate Services",0.59,"B35","I have an acceptable workload",47213,"H08",FALSE
"b35","Occupation of main role - major groups","Policy",0.55,"B35","I have an acceptable workload",17102,"H08",FALSE
"b35","Occupation of main role - major groups","Specialist services",0.56,"B35","I have an acceptable workload",27836,"H08",FALSE
"b35","Occupation of main role - major groups","Other",0.53,"B35","I have an acceptable workload",14756,"H08",FALSE
"b35","Development scheme","Not on a development scheme",0.59,"B35","I have an acceptable workload",255315,"H09",FALSE
"b35","Development scheme","Civil Service Fast Stream schemes",0.67,"B35","I have an acceptable workload",2285,"H09",FALSE
"b35","Development scheme","Other development scheme",0.61,"B35","I have an acceptable workload",5666,"H09",FALSE
"b35","Sex","Male",0.58,"B35","I have an acceptable workload",113109,"J01",FALSE
"b35","Sex","Female",0.63,"B35","I have an acceptable workload",125295,"J01",FALSE
"b35","Age","Aged 16-34",0.64,"B35","I have an acceptable workload",52923,"J02",FALSE
"b35","Age","Aged 35-44",0.59,"B35","I have an acceptable workload",60476,"J02",FALSE
"b35","Age","Aged 45-54",0.59,"B35","I have an acceptable workload",79941,"J02",FALSE
"b35","Age","Aged 55+",0.63,"B35","I have an acceptable workload",40346,"J02",FALSE
"b35","Ethnicity - binary","White",0.6,"B35","I have an acceptable workload",216883,"J03",FALSE
"b35","Ethnicity - binary","BME",0.65,"B35","I have an acceptable workload",22776,"J03",FALSE
"b35","Ethnicity - major group","White",0.6,"B35","I have an acceptable workload",216883,"J03",FALSE
"b35","Ethnicity - major group","Mixed",0.61,"B35","I have an acceptable workload",3319,"J03",FALSE
"b35","Ethnicity - major group","Asian",0.66,"B35","I have an acceptable workload",11620,"J03",FALSE
"b35","Ethnicity - major group","Black",0.66,"B35","I have an acceptable workload",6511,"J03",FALSE
"b35","Ethnicity - major group","Other ethnic group",0.65,"B35","I have an acceptable workload",1326,"J03",FALSE
"b35","Long-term health","No long-term limiting illness or condition",0.61,"B35","I have an acceptable workload",227203,"J04",FALSE
"b35","Long-term health","Long-term limiting illness or condition",0.52,"B35","I have an acceptable workload",20700,"J04",FALSE
"b35","Caring status","Not a carer",0.61,"B35","I have an acceptable workload",194596,"J05",FALSE
"b35","Caring status","Carer for others",0.57,"B35","I have an acceptable workload",56905,"J05",FALSE
"b35","Childcare status","No childcare responsibilities",0.6,"B35","I have an acceptable workload",165273,"J06",FALSE
"b35","Childcare status","Has childcare responsibilities",0.6,"B35","I have an acceptable workload",85962,"J06",FALSE
"b35","Sexual identity","Heterosexual/straight",0.61,"B35","I have an acceptable workload",223402,"J07",FALSE
"b35","Sexual identity","Gay, lesbian or bisexual",0.58,"B35","I have an acceptable workload",7524,"J07",FALSE
"b35","Sexual identity","Other",0.5,"B35","I have an acceptable workload",1541,"J07",FALSE
"b35","Religious identity","No religion",0.6,"B35","I have an acceptable workload",84120,"J08",FALSE
"b35","Religious identity","Christian",0.62,"B35","I have an acceptable workload",131231,"J08",FALSE
"b35","Religious identity","Buddhist",0.55,"B35","I have an acceptable workload",1389,"J08",FALSE
"b35","Religious identity","Hindu",0.67,"B35","I have an acceptable workload",3539,"J08",FALSE
"b35","Religious identity","Jewish",0.56,"B35","I have an acceptable workload",815,"J08",FALSE
"b35","Religious identity","Muslim",0.67,"B35","I have an acceptable workload",5725,"J08",FALSE
"b35","Religious identity","Sikh",0.62,"B35","I have an acceptable workload",1433,"J08",FALSE
"b35","Religious identity","Any other religion",0.53,"B35","I have an acceptable workload",4221,"J08",FALSE
"b36","Grade","AO/AA",0.72,"B36","I achieve a good balance between my work life and my private life",77720,"",FALSE
"b36","Grade","EO",0.67,"B36","I achieve a good balance between my work life and my private life",72857,"",FALSE
"b36","Grade","SEO/HEO",0.65,"B36","I achieve a good balance between my work life and my private life",68329,"",FALSE
"b36","Grade","G6/G7",0.57,"B36","I achieve a good balance between my work life and my private life",27956,"",FALSE
"b36","Grade","SCS",0.56,"B36","I achieve a good balance between my work life and my private life",4193,"",FALSE
"b36","Country usually work in","England",0.65,"B36","I achieve a good balance between my work life and my private life",210200,"H01",FALSE
"b36","Country usually work in","Scotland",0.7,"B36","I achieve a good balance between my work life and my private life",25648,"H01",FALSE
"b36","Country usually work in","Wales",0.72,"B36","I achieve a good balance between my work life and my private life",18642,"H01",FALSE
"b36","Country usually work in","Northern Ireland",0.71,"B36","I achieve a good balance between my work life and my private life",1476,"H01",FALSE
"b36","Country usually work in","Overseas",0.68,"B36","I achieve a good balance between my work life and my private life",12861,"H01",FALSE
"b36","Region of England usually work in","East Midlands",0.65,"B36","I achieve a good balance between my work life and my private life",12102,"H1A",FALSE
"b36","Region of England usually work in","East of England",0.65,"B36","I achieve a good balance between my work life and my private life",11063,"H1A",FALSE
"b36","Region of England usually work in","London",0.63,"B36","I achieve a good balance between my work life and my private life",51504,"H1A",FALSE
"b36","Region of England usually work in","North East England",0.68,"B36","I achieve a good balance between my work life and my private life",18532,"H1A",FALSE
"b36","Region of England usually work in","North West England",0.69,"B36","I achieve a good balance between my work life and my private life",28406,"H1A",FALSE
"b36","Region of England usually work in","South East England",0.64,"B36","I achieve a good balance between my work life and my private life",25591,"H1A",FALSE
"b36","Region of England usually work in","South West England",0.65,"B36","I achieve a good balance between my work life and my private life",27808,"H1A",FALSE
"b36","Region of England usually work in","West Midlands",0.64,"B36","I achieve a good balance between my work life and my private life",15854,"H1A",FALSE
"b36","Region of England usually work in","Yorkshire and the Humber",0.67,"B36","I achieve a good balance between my work life and my private life",17330,"H1A",FALSE
"b36","Time in current job","Less than 1 year",0.7,"B36","I achieve a good balance between my work life and my private life",58890,"H02",FALSE
"b36","Time in current job","1 year but less than 3 years",0.66,"B36","I achieve a good balance between my work life and my private life",61428,"H02",FALSE
"b36","Time in current job","3 years but less than 5 years",0.66,"B36","I achieve a good balance between my work life and my private life",38332,"H02",FALSE
"b36","Time in current job","5 years but less than 10 years",0.66,"B36","I achieve a good balance between my work life and my private life",53962,"H02",FALSE
"b36","Time in current job","10 years or more",0.64,"B36","I achieve a good balance between my work life and my private life",53584,"H02",FALSE
"b36","Time in organisation (or predecessor)","Less than 1 year",0.77,"B36","I achieve a good balance between my work life and my private life",16436,"H03",FALSE
"b36","Time in organisation (or predecessor)","1 year but less than 3 years",0.69,"B36","I achieve a good balance between my work life and my private life",17550,"H03",FALSE
"b36","Time in organisation (or predecessor)","3 years but less than 5 years",0.66,"B36","I achieve a good balance between my work life and my private life",20460,"H03",FALSE
"b36","Time in organisation (or predecessor)","5 years but less than 10 years",0.66,"B36","I achieve a good balance between my work life and my private life",48419,"H03",FALSE
"b36","Time in organisation (or predecessor)","10 years or more",0.65,"B36","I achieve a good balance between my work life and my private life",147675,"H03",FALSE
"b36","Time in Civil Service","Less than 1 year",0.76,"B36","I achieve a good balance between my work life and my private life",14876,"H04",FALSE
"b36","Time in Civil Service","1 year but less than 3 years",0.71,"B36","I achieve a good balance between my work life and my private life",12249,"H04",FALSE
"b36","Time in Civil Service","3 years but less than 5 years",0.68,"B36","I achieve a good balance between my work life and my private life",17299,"H04",FALSE
"b36","Time in Civil Service","5 years but less than 10 years",0.66,"B36","I achieve a good balance between my work life and my private life",44849,"H04",FALSE
"b36","Time in Civil Service","10 years or more",0.65,"B36","I achieve a good balance between my work life and my private life",154217,"H04",FALSE
"b36","Manager status","Non-manager",0.69,"B36","I achieve a good balance between my work life and my private life",185009,"H05",FALSE
"b36","Manager status","Manager",0.6,"B36","I achieve a good balance between my work life and my private life",81009,"H05",FALSE
"b36","Working pattern","Full-time",0.64,"B36","I achieve a good balance between my work life and my private life",216469,"H06",FALSE
"b36","Working pattern","Part-time",0.76,"B36","I achieve a good balance between my work life and my private life",50954,"H06",FALSE
"b36","Working pattern","Job-share",0.73,"B36","I achieve a good balance between my work life and my private life",821,"H06",FALSE
"b36","Employment status","Permanent contract",0.66,"B36","I achieve a good balance between my work life and my private life",251751,"H07",FALSE
"b36","Employment status","Fixed term contract",0.75,"B36","I achieve a good balance between my work life and my private life",9840,"H07",FALSE
"b36","Employment status","Loaned from other CS organisation",0.64,"B36","I achieve a good balance between my work life and my private life",2270,"H07",FALSE
"b36","Employment status","Temporary/agency worker",0.81,"B36","I achieve a good balance between my work life and my private life",2435,"H07",FALSE
"b36","Employment status","Contractor/freelancer",0.71,"B36","I achieve a good balance between my work life and my private life",1167,"H07",FALSE
"b36","Employment status","Secondee from outside CS",0.66,"B36","I achieve a good balance between my work life and my private life",1185,"H07",FALSE
"b36","Occupation of main role - major groups","Operations",0.68,"B36","I achieve a good balance between my work life and my private life",158154,"H08",FALSE
"b36","Occupation of main role - major groups","Corporate Services",0.67,"B36","I achieve a good balance between my work life and my private life",47213,"H08",FALSE
"b36","Occupation of main role - major groups","Policy",0.61,"B36","I achieve a good balance between my work life and my private life",17102,"H08",FALSE
"b36","Occupation of main role - major groups","Specialist services",0.63,"B36","I achieve a good balance between my work life and my private life",27836,"H08",FALSE
"b36","Occupation of main role - major groups","Other",0.57,"B36","I achieve a good balance between my work life and my private life",14756,"H08",FALSE
"b36","Development scheme","Not on a development scheme",0.66,"B36","I achieve a good balance between my work life and my private life",255315,"H09",FALSE
"b36","Development scheme","Civil Service Fast Stream schemes",0.72,"B36","I achieve a good balance between my work life and my private life",2285,"H09",FALSE
"b36","Development scheme","Other development scheme",0.68,"B36","I achieve a good balance between my work life and my private life",5666,"H09",FALSE
"b36","Sex","Male",0.65,"B36","I achieve a good balance between my work life and my private life",113109,"J01",FALSE
"b36","Sex","Female",0.71,"B36","I achieve a good balance between my work life and my private life",125295,"J01",FALSE
"b36","Age","Aged 16-34",0.72,"B36","I achieve a good balance between my work life and my private life",52923,"J02",FALSE
"b36","Age","Aged 35-44",0.67,"B36","I achieve a good balance between my work life and my private life",60476,"J02",FALSE
"b36","Age","Aged 45-54",0.65,"B36","I achieve a good balance between my work life and my private life",79941,"J02",FALSE
"b36","Age","Aged 55+",0.7,"B36","I achieve a good balance between my work life and my private life",40346,"J02",FALSE
"b36","Ethnicity - binary","White",0.68,"B36","I achieve a good balance between my work life and my private life",216883,"J03",FALSE
"b36","Ethnicity - binary","BME",0.7,"B36","I achieve a good balance between my work life and my private life",22776,"J03",FALSE
"b36","Ethnicity - major group","White",0.68,"B36","I achieve a good balance between my work life and my private life",216883,"J03",FALSE
"b36","Ethnicity - major group","Mixed",0.68,"B36","I achieve a good balance between my work life and my private life",3319,"J03",FALSE
"b36","Ethnicity - major group","Asian",0.71,"B36","I achieve a good balance between my work life and my private life",11620,"J03",FALSE
"b36","Ethnicity - major group","Black",0.7,"B36","I achieve a good balance between my work life and my private life",6511,"J03",FALSE
"b36","Ethnicity - major group","Other ethnic group",0.68,"B36","I achieve a good balance between my work life and my private life",1326,"J03",FALSE
"b36","Long-term health","No long-term limiting illness or condition",0.69,"B36","I achieve a good balance between my work life and my private life",227203,"J04",FALSE
"b36","Long-term health","Long-term limiting illness or condition",0.56,"B36","I achieve a good balance between my work life and my private life",20700,"J04",FALSE
"b36","Caring status","Not a carer",0.69,"B36","I achieve a good balance between my work life and my private life",194596,"J05",FALSE
"b36","Caring status","Carer for others",0.62,"B36","I achieve a good balance between my work life and my private life",56905,"J05",FALSE
"b36","Childcare status","No childcare responsibilities",0.67,"B36","I achieve a good balance between my work life and my private life",165273,"J06",FALSE
"b36","Childcare status","Has childcare responsibilities",0.67,"B36","I achieve a good balance between my work life and my private life",85962,"J06",FALSE
"b36","Sexual identity","Heterosexual/straight",0.68,"B36","I achieve a good balance between my work life and my private life",223402,"J07",FALSE
"b36","Sexual identity","Gay, lesbian or bisexual",0.64,"B36","I achieve a good balance between my work life and my private life",7524,"J07",FALSE
"b36","Sexual identity","Other",0.58,"B36","I achieve a good balance between my work life and my private life",1541,"J07",FALSE
"b36","Religious identity","No religion",0.67,"B36","I achieve a good balance between my work life and my private life",84120,"J08",FALSE
"b36","Religious identity","Christian",0.69,"B36","I achieve a good balance between my work life and my private life",131231,"J08",FALSE
"b36","Religious identity","Buddhist",0.61,"B36","I achieve a good balance between my work life and my private life",1389,"J08",FALSE
"b36","Religious identity","Hindu",0.72,"B36","I achieve a good balance between my work life and my private life",3539,"J08",FALSE
"b36","Religious identity","Jewish",0.63,"B36","I achieve a good balance between my work life and my private life",815,"J08",FALSE
"b36","Religious identity","Muslim",0.72,"B36","I achieve a good balance between my work life and my private life",5725,"J08",FALSE
"b36","Religious identity","Sikh",0.68,"B36","I achieve a good balance between my work life and my private life",1433,"J08",FALSE
"b36","Religious identity","Any other religion",0.59,"B36","I achieve a good balance between my work life and my private life",4221,"J08",FALSE
"b37","Grade","AO/AA",0.24,"B37","I feel that my pay adequately reflects my performance",77720,"",FALSE
"b37","Grade","EO",0.26,"B37","I feel that my pay adequately reflects my performance",72857,"",FALSE
"b37","Grade","SEO/HEO",0.32,"B37","I feel that my pay adequately reflects my performance",68329,"",FALSE
"b37","Grade","G6/G7",0.42,"B37","I feel that my pay adequately reflects my performance",27956,"",FALSE
"b37","Grade","SCS",0.36,"B37","I feel that my pay adequately reflects my performance",4193,"",FALSE
"b37","Country usually work in","England",0.29,"B37","I feel that my pay adequately reflects my performance",210200,"H01",FALSE
"b37","Country usually work in","Scotland",0.27,"B37","I feel that my pay adequately reflects my performance",25648,"H01",FALSE
"b37","Country usually work in","Wales",0.34,"B37","I feel that my pay adequately reflects my performance",18642,"H01",FALSE
"b37","Country usually work in","Northern Ireland",0.29,"B37","I feel that my pay adequately reflects my performance",1476,"H01",FALSE
"b37","Country usually work in","Overseas",0.33,"B37","I feel that my pay adequately reflects my performance",12861,"H01",FALSE
"b37","Region of England usually work in","East Midlands",0.28,"B37","I feel that my pay adequately reflects my performance",12102,"H1A",FALSE
"b37","Region of England usually work in","East of England",0.29,"B37","I feel that my pay adequately reflects my performance",11063,"H1A",FALSE
"b37","Region of England usually work in","London",0.29,"B37","I feel that my pay adequately reflects my performance",51504,"H1A",FALSE
"b37","Region of England usually work in","North East England",0.29,"B37","I feel that my pay adequately reflects my performance",18532,"H1A",FALSE
"b37","Region of England usually work in","North West England",0.29,"B37","I feel that my pay adequately reflects my performance",28406,"H1A",FALSE
"b37","Region of England usually work in","South East England",0.27,"B37","I feel that my pay adequately reflects my performance",25591,"H1A",FALSE
"b37","Region of England usually work in","South West England",0.29,"B37","I feel that my pay adequately reflects my performance",27808,"H1A",FALSE
"b37","Region of England usually work in","West Midlands",0.28,"B37","I feel that my pay adequately reflects my performance",15854,"H1A",FALSE
"b37","Region of England usually work in","Yorkshire and the Humber",0.3,"B37","I feel that my pay adequately reflects my performance",17330,"H1A",FALSE
"b37","Time in current job","Less than 1 year",0.37,"B37","I feel that my pay adequately reflects my performance",58890,"H02",FALSE
"b37","Time in current job","1 year but less than 3 years",0.31,"B37","I feel that my pay adequately reflects my performance",61428,"H02",FALSE
"b37","Time in current job","3 years but less than 5 years",0.27,"B37","I feel that my pay adequately reflects my performance",38332,"H02",FALSE
"b37","Time in current job","5 years but less than 10 years",0.25,"B37","I feel that my pay adequately reflects my performance",53962,"H02",FALSE
"b37","Time in current job","10 years or more",0.24,"B37","I feel that my pay adequately reflects my performance",53584,"H02",FALSE
"b37","Time in organisation (or predecessor)","Less than 1 year",0.44,"B37","I feel that my pay adequately reflects my performance",16436,"H03",FALSE
"b37","Time in organisation (or predecessor)","1 year but less than 3 years",0.34,"B37","I feel that my pay adequately reflects my performance",17550,"H03",FALSE
"b37","Time in organisation (or predecessor)","3 years but less than 5 years",0.28,"B37","I feel that my pay adequately reflects my performance",20460,"H03",FALSE
"b37","Time in organisation (or predecessor)","5 years but less than 10 years",0.27,"B37","I feel that my pay adequately reflects my performance",48419,"H03",FALSE
"b37","Time in organisation (or predecessor)","10 years or more",0.28,"B37","I feel that my pay adequately reflects my performance",147675,"H03",FALSE
"b37","Time in Civil Service","Less than 1 year",0.45,"B37","I feel that my pay adequately reflects my performance",14876,"H04",FALSE
"b37","Time in Civil Service","1 year but less than 3 years",0.34,"B37","I feel that my pay adequately reflects my performance",12249,"H04",FALSE
"b37","Time in Civil Service","3 years but less than 5 years",0.28,"B37","I feel that my pay adequately reflects my performance",17299,"H04",FALSE
"b37","Time in Civil Service","5 years but less than 10 years",0.27,"B37","I feel that my pay adequately reflects my performance",44849,"H04",FALSE
"b37","Time in Civil Service","10 years or more",0.27,"B37","I feel that my pay adequately reflects my performance",154217,"H04",FALSE
"b37","Manager status","Non-manager",0.27,"B37","I feel that my pay adequately reflects my performance",185009,"H05",FALSE
"b37","Manager status","Manager",0.33,"B37","I feel that my pay adequately reflects my performance",81009,"H05",FALSE
"b37","Working pattern","Full-time",0.28,"B37","I feel that my pay adequately reflects my performance",216469,"H06",FALSE
"b37","Working pattern","Part-time",0.33,"B37","I feel that my pay adequately reflects my performance",50954,"H06",FALSE
"b37","Working pattern","Job-share",0.36,"B37","I feel that my pay adequately reflects my performance",821,"H06",FALSE
"b37","Employment status","Permanent contract",0.28,"B37","I feel that my pay adequately reflects my performance",251751,"H07",FALSE
"b37","Employment status","Fixed term contract",0.41,"B37","I feel that my pay adequately reflects my performance",9840,"H07",FALSE
"b37","Employment status","Loaned from other CS organisation",0.41,"B37","I feel that my pay adequately reflects my performance",2270,"H07",FALSE
"b37","Employment status","Temporary/agency worker",0.39,"B37","I feel that my pay adequately reflects my performance",2435,"H07",FALSE
"b37","Employment status","Contractor/freelancer",0.5,"B37","I feel that my pay adequately reflects my performance",1167,"H07",FALSE
"b37","Employment status","Secondee from outside CS",0.52,"B37","I feel that my pay adequately reflects my performance",1185,"H07",FALSE
"b37","Occupation of main role - major groups","Operations",0.27,"B37","I feel that my pay adequately reflects my performance",158154,"H08",FALSE
"b37","Occupation of main role - major groups","Corporate Services",0.34,"B37","I feel that my pay adequately reflects my performance",47213,"H08",FALSE
"b37","Occupation of main role - major groups","Policy",0.34,"B37","I feel that my pay adequately reflects my performance",17102,"H08",FALSE
"b37","Occupation of main role - major groups","Specialist services",0.32,"B37","I feel that my pay adequately reflects my performance",27836,"H08",FALSE
"b37","Occupation of main role - major groups","Other",0.26,"B37","I feel that my pay adequately reflects my performance",14756,"H08",FALSE
"b37","Development scheme","Not on a development scheme",0.29,"B37","I feel that my pay adequately reflects my performance",255315,"H09",FALSE
"b37","Development scheme","Civil Service Fast Stream schemes",0.42,"B37","I feel that my pay adequately reflects my performance",2285,"H09",FALSE
"b37","Development scheme","Other development scheme",0.36,"B37","I feel that my pay adequately reflects my performance",5666,"H09",FALSE
"b37","Sex","Male",0.26,"B37","I feel that my pay adequately reflects my performance",113109,"J01",FALSE
"b37","Sex","Female",0.34,"B37","I feel that my pay adequately reflects my performance",125295,"J01",FALSE
"b37","Age","Aged 16-34",0.33,"B37","I feel that my pay adequately reflects my performance",52923,"J02",FALSE
"b37","Age","Aged 35-44",0.32,"B37","I feel that my pay adequately reflects my performance",60476,"J02",FALSE
"b37","Age","Aged 45-54",0.3,"B37","I feel that my pay adequately reflects my performance",79941,"J02",FALSE
"b37","Age","Aged 55+",0.27,"B37","I feel that my pay adequately reflects my performance",40346,"J02",FALSE
"b37","Ethnicity - binary","White",0.31,"B37","I feel that my pay adequately reflects my performance",216883,"J03",FALSE
"b37","Ethnicity - binary","BME",0.29,"B37","I feel that my pay adequately reflects my performance",22776,"J03",FALSE
"b37","Ethnicity - major group","White",0.31,"B37","I feel that my pay adequately reflects my performance",216883,"J03",FALSE
"b37","Ethnicity - major group","Mixed",0.32,"B37","I feel that my pay adequately reflects my performance",3319,"J03",FALSE
"b37","Ethnicity - major group","Asian",0.29,"B37","I feel that my pay adequately reflects my performance",11620,"J03",FALSE
"b37","Ethnicity - major group","Black",0.27,"B37","I feel that my pay adequately reflects my performance",6511,"J03",FALSE
"b37","Ethnicity - major group","Other ethnic group",0.35,"B37","I feel that my pay adequately reflects my performance",1326,"J03",FALSE
"b37","Long-term health","No long-term limiting illness or condition",0.31,"B37","I feel that my pay adequately reflects my performance",227203,"J04",FALSE
"b37","Long-term health","Long-term limiting illness or condition",0.23,"B37","I feel that my pay adequately reflects my performance",20700,"J04",FALSE
"b37","Caring status","Not a carer",0.31,"B37","I feel that my pay adequately reflects my performance",194596,"J05",FALSE
"b37","Caring status","Carer for others",0.26,"B37","I feel that my pay adequately reflects my performance",56905,"J05",FALSE
"b37","Childcare status","No childcare responsibilities",0.3,"B37","I feel that my pay adequately reflects my performance",165273,"J06",FALSE
"b37","Childcare status","Has childcare responsibilities",0.3,"B37","I feel that my pay adequately reflects my performance",85962,"J06",FALSE
"b37","Sexual identity","Heterosexual/straight",0.3,"B37","I feel that my pay adequately reflects my performance",223402,"J07",FALSE
"b37","Sexual identity","Gay, lesbian or bisexual",0.3,"B37","I feel that my pay adequately reflects my performance",7524,"J07",FALSE
"b37","Sexual identity","Other",0.24,"B37","I feel that my pay adequately reflects my performance",1541,"J07",FALSE
"b37","Religious identity","No religion",0.3,"B37","I feel that my pay adequately reflects my performance",84120,"J08",FALSE
"b37","Religious identity","Christian",0.31,"B37","I feel that my pay adequately reflects my performance",131231,"J08",FALSE
"b37","Religious identity","Buddhist",0.28,"B37","I feel that my pay adequately reflects my performance",1389,"J08",FALSE
"b37","Religious identity","Hindu",0.27,"B37","I feel that my pay adequately reflects my performance",3539,"J08",FALSE
"b37","Religious identity","Jewish",0.27,"B37","I feel that my pay adequately reflects my performance",815,"J08",FALSE
"b37","Religious identity","Muslim",0.33,"B37","I feel that my pay adequately reflects my performance",5725,"J08",FALSE
"b37","Religious identity","Sikh",0.26,"B37","I feel that my pay adequately reflects my performance",1433,"J08",FALSE
"b37","Religious identity","Any other religion",0.22,"B37","I feel that my pay adequately reflects my performance",4221,"J08",FALSE
"b38","Grade","AO/AA",0.3,"B38","I am satisfied with the total benefits package",77720,"",FALSE
"b38","Grade","EO",0.3,"B38","I am satisfied with the total benefits package",72857,"",FALSE
