DeptX,Dept,Organisation,Whitehall?,TWD dept groups,Organisation type,2010 Q3 FTE,2010 Q4 FTE,2011 Q1 FTE,2011 Q2 FTE,2011 Q3 FTE,2011 Q4 FTE,2012 Q1 FTE,2012 Q2 FTE,2010 Q3 change,2010 Q4 change,2011 Q1 change,2011 Q2 change,2011 Q3 change,2011 Q4 change,2012 Q1 change,2012 Q2 change,2010 Q3 % change,2010 Q4 % change,2011 Q1 % change,2011 Q2 % change,2011 Q3 % change,2011 Q4 % change,2012 Q1 % change,2012 Q2 % change,2010 Q3 change from baseline,2010 Q4 change from baseline,2011 Q1 change from baseline,2011 Q2 change from baseline,2011 Q3 change from baseline,2011 Q4 change from baseline,2012 Q1 change from baseline,2012 Q2 change from baseline,2010 Q3 % change from baseline,2010 Q4 % change from baseline,2011 Q1 % change from baseline,2011 Q2 % change from baseline,2011 Q3 % change from baseline,2011 Q4 % change from baseline,2012 Q1 % change from baseline,2012 Q2 % change from baseline
,DWP,DWP Corporate and Shared Services  ,Non-Whitehall Civil Service,Delivery,Ministerial Department,12200,12290,11890,11520,11070,0,0,0,0,90,-400,-370,-450,-11070,0,0,0.0%,0.7%,-3.3%,-3.1%,-3.9%,-100.0%,,,0,90,-310,-680,-1130,-12200,-12200,-12200,0.0%,0.7%,-2.5%,-5.6%,-9.3%,-100.0%,-100.0%,-100.0%
,DWP,Jobcentre Plus ,Non-Whitehall Civil Service,Delivery,Executive Agency,77750,75080,72940,69920,67540,0,0,0,0,-2670,-2140,-3020,-2380,-67540,0,0,0.0%,-3.4%,-2.9%,-4.1%,-3.4%,-100.0%,,,0,-2670,-4810,-7830,-10210,-77750,-77750,-77750,0.0%,-3.4%,-6.2%,-10.1%,-13.1%,-100.0%,-100.0%,-100.0%
,DWP,Pensions & Disability Carers Service ,Non-Whitehall Civil Service,Delivery,Executive Agency,13720,13370,13140,13000,12540,0,0,0,0,-350,-230,-140,-460,-12540,0,0,0.0%,-2.6%,-1.7%,-1.1%,-3.5%,-100.0%,,,0,-350,-580,-720,-1180,-13720,-13720,-13720,0.0%,-2.6%,-4.2%,-5.2%,-8.6%,-100.0%,-100.0%,-100.0%
,DWP,The Health and Safety Executive,Non-Whitehall Civil Service,Delivery,Crown Non Departmental Public Body,3600,3580,3370,3350,3320,3310,3270,3240,0,-20,-210,-20,-30,-10,-40,-30,0.0%,-0.6%,-5.9%,-0.6%,-0.9%,-0.3%,-1.2%,-0.9%,0,-20,-230,-250,-280,-290,-330,-360,0.0%,-0.6%,-6.4%,-6.9%,-7.8%,-8.1%,-9.2%,-10.0%
,DWP,The Rent Service,Non-Whitehall Civil Service,Delivery,???,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
FCO,FCO,Foreign and Commonwealth Office (excl agencies),Core Whitehall Depts.,Foreign facing,Ministerial Department,5900,5770,5660,5560,5450,5770,5780,6420,0,-130,-110,-100,-110,320,10,640,0.0%,-2.2%,-1.9%,-1.8%,-2.0%,5.9%,0.2%,11.1%,0,-130,-240,-340,-450,-130,-120,520,0.0%,-2.2%,-4.1%,-5.8%,-7.6%,-2.2%,-2.0%,8.8%
,FCO,Security and Intelligence Services,Non-Whitehall Civil Service,Foreign facing,Non-Ministerial Department,5590,5560,5300,5280,5240,5220,5210,5190,0,-30,-260,-20,-40,-20,-10,-20,0.0%,-0.5%,-4.7%,-0.4%,-0.8%,-0.4%,-0.2%,-0.4%,0,-30,-290,-310,-350,-370,-380,-400,0.0%,-0.5%,-5.2%,-5.5%,-6.3%,-6.6%,-6.8%,-7.2%
,FCO,Wilton Park Executive Agency,Non-Whitehall Civil Service,Foreign facing,Executive Agency,70,70,70,70,70,70,80,70,0,0,0,0,0,0,10,-10,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.3%,-12.5%,0,0,0,0,0,0,10,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.3%,0.0%
GEO,GEO,Government Equalities Office,Core Whitehall Depts.,Other depts,#N/A,110,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
HMRC,HMRC,HM Revenue and Customs,Non-Whitehall Civil Service,Delivery,non-Ministerial Department*,67550,66800,66880,67470,67080,66950,66470,65690,0,-750,80,590,-390,-130,-480,-780,0.0%,-1.1%,0.1%,0.9%,-0.6%,-0.2%,-0.7%,-1.2%,0,-750,-670,-80,-470,-600,-1080,-1860,0.0%,-1.1%,-1.0%,-0.1%,-0.7%,-0.9%,-1.6%,-2.8%
,HMRC,Valuation Office,Non-Whitehall Civil Service,Delivery,Executive Agency,3770,3740,3730,3710,3490,3490,3470,3470,0,-30,-10,-20,-220,0,-20,0,0.0%,-0.8%,-0.3%,-0.5%,-5.9%,0.0%,-0.6%,0.0%,0,-30,-40,-60,-280,-280,-300,-300,0.0%,-0.8%,-1.1%,-1.6%,-7.4%,-7.4%,-8.0%,-8.0%
HMT,HMT,Asset Protection Agency,Non-Whitehall Civil Service,Centre,Executive Agency,0,0,0,0,40,30,30,20,0,0,0,0,40,-10,0,-10,,,,,,-25.0%,0.0%,-33.3%,0,0,0,0,40,30,30,20,,,,,,,,
,HMT,Census Field,Non-Whitehall Civil Service,Centre,???,180,180,6100,110,0,0,0,0,0,0,5920,-5990,-110,0,0,0,0.0%,0.0%,3288.9%,-98.2%,-100.0%,,,,0,0,5920,-70,-180,-180,-180,-180,0.0%,0.0%,3288.9%,-38.9%,-100.0%,-100.0%,-100.0%,-100.0%
,HMT,Debt Management Office,Non-Whitehall Civil Service,Centre,Executive Agency,100,90,100,100,100,100,100,100,0,-10,10,0,0,0,0,0,0.0%,-10.0%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0,-10,0,0,0,0,0,0,0.0%,-10.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,HMT,Government Actuary's Department,Non-Whitehall Civil Service,Centre,Non-Ministerial Department,130,130,130,120,130,130,130,130,0,0,0,-10,10,0,0,0,0.0%,0.0%,0.0%,-7.7%,8.3%,0.0%,0.0%,0.0%,0,0,0,-10,0,0,0,0,0.0%,0.0%,0.0%,-7.7%,0.0%,0.0%,0.0%,0.0%
,HMT,HM Treasury,Core Whitehall Depts.,Centre,Ministerial Department,1360,1300,1240,1150,1130,1110,1180,1170,0,-60,-60,-90,-20,-20,70,-10,0.0%,-4.4%,-4.6%,-7.3%,-1.7%,-1.8%,6.3%,-0.8%,0,-60,-120,-210,-230,-250,-180,-190,0.0%,-4.4%,-8.8%,-15.4%,-16.9%,-18.4%,-13.2%,-14.0%
,HMT,National Savings and Investments,Non-Whitehall Civil Service,Centre,Non-Ministerial Department,140,150,140,140,140,150,150,150,0,10,-10,0,0,10,0,0,0.0%,7.1%,-6.7%,0.0%,0.0%,7.1%,0.0%,0.0%,0,10,0,0,0,10,10,10,0.0%,7.1%,0.0%,0.0%,0.0%,7.1%,7.1%,7.1%
,HMT,Office for Budget Responsibility,Core Whitehall Depts.,Centre,Executive Non-Departmental Public Body,0,0,0,20,20,20,20,20,0,0,0,20,0,0,0,0,,,,,0.0%,0.0%,0.0%,0.0%,0,0,0,20,20,20,20,20,,,,,,,,
,HMT,Office of Government Commerce,Non-Whitehall Civil Service,Centre,Executive Agency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
,HMT,OGC Buying Solutions,Non-Whitehall Civil Service,Centre,Executive Agency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
,HMT,Royal Mint,Non-Whitehall Civil Service,Centre,Executive Agency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
,HMT,UK Statistics Authority,Non-Whitehall Civil Service,Centre,Non-Ministerial Department,3270,3200,3250,3170,3080,3020,2990,2960,0,-70,50,-80,-90,-60,-30,-30,0.0%,-2.1%,1.6%,-2.5%,-2.8%,-1.9%,-1.0%,-1.0%,0,-70,-20,-100,-190,-250,-280,-310,0.0%,-2.1%,-0.6%,-3.1%,-5.8%,-7.6%,-8.6%,-9.5%
HO,HO,Criminal Records Bureau,Non-Whitehall Civil Service,Delivery,Executive Agency,680,630,620,570,540,490,480,470,0,-50,-10,-50,-30,-50,-10,-10,0.0%,-7.4%,-1.6%,-8.1%,-5.3%,-9.3%,-2.0%,-2.1%,0,-50,-60,-110,-140,-190,-200,-210,0.0%,-7.4%,-8.8%,-16.2%,-20.6%,-27.9%,-29.4%,-30.9%
,HO,Home Office (excl agencies),Non-Whitehall Civil Service,Delivery,Ministerial Department,3070,2850,2780,2510,2620,2650,10130,10110,0,-220,-70,-270,110,30,7480,-20,0.0%,-7.2%,-2.5%,-9.7%,4.4%,1.1%,282.3%,-0.2%,0,-220,-290,-560,-450,-420,7060,7040,0.0%,-7.2%,-9.4%,-18.2%,-14.7%,-13.7%,230.0%,229.3%
,HO,Identity and Passport Service,Non-Whitehall Civil Service,Delivery,Executive Agency,3800,3480,3500,3300,3220,3130,3050,3030,0,-320,20,-200,-80,-90,-80,-20,0.0%,-8.4%,0.6%,-5.7%,-2.4%,-2.8%,-2.6%,-0.7%,0,-320,-300,-500,-580,-670,-750,-770,0.0%,-8.4%,-7.9%,-13.2%,-15.3%,-17.6%,-19.7%,-20.3%
,HO,National Fraud Authority,Non-Whitehall Civil Service,Delivery,Executive Agency,0,0,0,-40,0,0,0,0,0,0,0,-40,40,0,0,0,,,,,-100.0%,,,,0,0,0,-40,0,0,0,0,,,,,,,,
,HO,UK Border Agency,Non-Whitehall Civil Service,Delivery,Executive Agency,21520,20950,20480,19820,19050,18430,10830,10760,0,-570,-470,-660,-770,-620,-7600,-70,0.0%,-2.6%,-2.2%,-3.2%,-3.9%,-3.3%,-41.2%,-0.6%,0,-570,-1040,-1700,-2470,-3090,-10690,-10760,0.0%,-2.6%,-4.8%,-7.9%,-11.5%,-14.4%,-49.7%,-50.0%
MoD,MoD,Defence Science and Technology Laboratory,Non-Whitehall Civil Service,Delivery,Executive Agency,3720,3670,3640,3620,3660,3670,3630,3650,0,-50,-30,-20,40,10,-40,20,0.0%,-1.3%,-0.8%,-0.5%,1.1%,0.3%,-1.1%,0.6%,0,-50,-80,-100,-60,-50,-90,-70,0.0%,-1.3%,-2.2%,-2.7%,-1.6%,-1.3%,-2.4%,-1.9%
,MoD,Defence Support Group,Non-Whitehall Civil Service,Delivery,Executive Agency,3170,3100,2960,2860,2940,2740,2470,2490,0,-70,-140,-100,80,-200,-270,20,0.0%,-2.2%,-4.5%,-3.4%,2.8%,-6.8%,-9.9%,0.8%,0,-70,-210,-310,-230,-430,-700,-680,0.0%,-2.2%,-6.6%,-9.8%,-7.3%,-13.6%,-22.1%,-21.5%
,MoD,Meteorological Office,Non-Whitehall Civil Service,Delivery,Executive Agency,1800,1790,1800,1790,1760,1760,1760,1760,0,-10,10,-10,-30,0,0,0,0.0%,-0.6%,0.6%,-0.6%,-1.7%,0.0%,0.0%,0.0%,0,-10,0,-10,-40,-40,-40,-40,0.0%,-0.6%,0.0%,-0.6%,-2.2%,-2.2%,-2.2%,-2.2%
,MoD,Ministry of Defence,Non-Whitehall Civil Service,Delivery,Ministerial Department,63950,63620,62720,61440,60430,57210,54250,52520,0,-330,-900,-1280,-1010,-3220,-2960,-1730,0.0%,-0.5%,-1.4%,-2.0%,-1.6%,-5.3%,-5.2%,-3.2%,0,-330,-1230,-2510,-3520,-6740,-9700,-11430,0.0%,-0.5%,-1.9%,-3.9%,-5.5%,-10.5%,-15.2%,-17.9%
,MoD,UK Hydrographic Office,Non-Whitehall Civil Service,Delivery,Executive Agency,950,950,960,970,970,970,980,980,0,0,10,10,0,0,10,0,0.0%,0.0%,1.1%,1.0%,0.0%,0.0%,1.0%,0.0%,0,0,10,20,20,20,30,30,0.0%,0.0%,1.1%,2.1%,2.1%,2.1%,3.2%,3.2%
MoJ,MoJ,Her Majesty's Courts and Tribunals Service,Non-Whitehall Civil Service,Delivery,Executive Agency,0,0,0,19850,19680,18980,18500,17810,0,0,0,19850,-170,-700,-480,-690,,,,,-0.9%,-3.6%,-2.5%,-3.7%,0,0,0,19850,19680,18980,18500,17810,,,,,,,,
,MoJ,HM Courts Service,Non-Whitehall Civil Service,Delivery,Executive Agency,17880,17730,17430,0,0,0,0,0,0,-150,-300,-17430,0,0,0,0,0.0%,-0.8%,-1.7%,-100.0%,,,,,0,-150,-450,-17880,-17880,-17880,-17880,-17880,0.0%,-0.8%,-2.5%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%
,MoJ,Land Registry,Non-Whitehall Civil Service,Delivery,Non-Ministerial Department,5130,4980,4860,4680,4470,4470,4470,4470,0,-150,-120,-180,-210,0,0,0,0.0%,-2.9%,-2.4%,-3.7%,-4.5%,0.0%,0.0%,0.0%,0,-150,-270,-450,-660,-660,-660,-660,0.0%,-2.9%,-5.3%,-8.8%,-12.9%,-12.9%,-12.9%,-12.9%
,MoJ,Ministry of Justice (excl agencies),Core Whitehall Depts.,Delivery,Ministerial Department,3300,4470,4510,3031,2981,2891,2591,2791,0,1170,40,-1479,-50,-90,-300,200,0.0%,35.5%,0.9%,-32.8%,-1.6%,-3.0%,-10.4%,7.7%,0,1170,1210,-269,-319,-409,-709,-509,0.0%,35.5%,36.7%,-8.2%,-9.7%,-12.4%,-21.5%,-15.4%
,MoJ,National Archives,Non-Whitehall Civil Service,Delivery,Executive Agency,580,580,580,580,590,590,600,610,0,0,0,0,10,0,10,10,0.0%,0.0%,0.0%,0.0%,1.7%,0.0%,1.7%,1.7%,0,0,0,0,10,10,20,30,0.0%,0.0%,0.0%,0.0%,1.7%,1.7%,3.4%,5.2%
,MoJ,National Offender Management Service,Non-Whitehall Civil Service,Delivery,Executive Agency,48770,47400,47150,47309,46839,45459,44959,44259,0,-1370,-250,159,-470,-1380,-500,-700,0.0%,-2.8%,-0.5%,0.3%,-1.0%,-2.9%,-1.1%,-1.6%,0,-1370,-1620,-1461,-1931,-3311,-3811,-4511,0.0%,-2.8%,-3.3%,-3.0%,-4.0%,-6.8%,-7.8%,-9.2%
,MoJ,Scotland Office (incl. Office of the Advocate General for Scotland),Non-Whitehall Civil Service,Delivery,Ministerial Department (exclude),90,90,100,90,90,100,100,90,0,0,10,-10,0,10,0,-10,0.0%,0.0%,11.1%,-10.0%,0.0%,11.1%,0.0%,-10.0%,0,0,10,0,0,10,10,0,0.0%,0.0%,11.1%,0.0%,0.0%,11.1%,11.1%,0.0%
,MoJ,The Office of the Public Guardian,Non-Whitehall Civil Service,Delivery,Executive Agency,420,440,430,410,440,490,490,480,0,20,-10,-20,30,50,0,-10,0.0%,4.8%,-2.3%,-4.7%,7.3%,11.4%,0.0%,-2.0%,0,20,10,-10,20,70,70,60,0.0%,4.8%,2.4%,-2.4%,4.8%,16.7%,16.7%,14.3%
,MoJ,Tribunals Service,Non-Whitehall Civil Service,Delivery,Executive Agency,2960,3010,3050,0,0,0,0,0,0,50,40,-3050,0,0,0,0,0.0%,1.7%,1.3%,-100.0%,,,,,0,50,90,-2960,-2960,-2960,-2960,-2960,0.0%,1.7%,3.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%
,MoJ,UK Supreme Court,Non-Whitehall Civil Service,Delivery,Non-Ministerial Department,40,40,40,50,50,50,50,50,0,0,0,10,0,0,0,0,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,10,10,10,10,10,0.0%,0.0%,0.0%,25.0%,25.0%,25.0%,25.0%,25.0%
,MoJ,Wales Office,Non-Whitehall Civil Service,Delivery,Ministerial Department (exclude),60,50,60,50,50,50,60,60,0,-10,10,-10,0,0,10,0,0.0%,-16.7%,20.0%,-16.7%,0.0%,0.0%,20.0%,0.0%,0,-10,0,-10,-10,-10,0,0,0.0%,-16.7%,0.0%,-16.7%,-16.7%,-16.7%,0.0%,0.0%
NIO,NIO,Northern Ireland Office,Core Whitehall Depts.,Other depts,Ministerial Department,110,110,100,50,50,50,60,90,0,0,-10,-50,0,0,10,30,0.0%,0.0%,-9.1%,-50.0%,0.0%,0.0%,20.0%,50.0%,0,0,-10,-60,-60,-60,-50,-20,0.0%,0.0%,-9.1%,-54.5%,-54.5%,-54.5%,-45.5%,-18.2%
Scot Gov,Scot Gov,Accountant in Bankruptcy,Non-Whitehall Civil Service,Other depts,#N/A,150,150,150,150,150,150,150,150,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,Scot Gov,Crown Office and Procurator Fiscal,Non-Whitehall Civil Service,Other depts,#N/A,1730,1730,1680,1630,1610,1580,1540,1550,0,0,-50,-50,-20,-30,-40,10,0.0%,0.0%,-2.9%,-3.0%,-1.2%,-1.9%,-2.5%,0.6%,0,0,-50,-100,-120,-150,-190,-180,0.0%,0.0%,-2.9%,-5.8%,-6.9%,-8.7%,-11.0%,-10.4%
,Scot Gov,Disclosure Scotland,Non-Whitehall Civil Service,Other depts,#N/A,170,170,160,160,170,170,170,170,0,0,-10,0,10,0,0,0,0.0%,0.0%,-5.9%,0.0%,6.3%,0.0%,0.0%,0.0%,0,0,-10,-10,0,0,0,0,0.0%,0.0%,-5.9%,-5.9%,0.0%,0.0%,0.0%,0.0%
,Scot Gov,Education Scotland,Non-Whitehall Civil Service,Other depts,#N/A,0,0,0,0,290,300,280,270,0,0,0,0,290,10,-20,-10,,,,,,3.4%,-6.7%,-3.6%,0,0,0,0,290,300,280,270,,,,,,,,
,Scot Gov,Fisheries Research Services,Non-Whitehall Civil Service,Other depts,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
,Scot Gov,General Register Scotland,Non-Whitehall Civil Service,Other depts,#N/A,300,300,300,0,0,0,0,0,0,0,0,-300,0,0,0,0,0.0%,0.0%,0.0%,-100.0%,,,,,0,0,0,-300,-300,-300,-300,-300,0.0%,0.0%,0.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%
,Scot Gov,GROS Census Field,Non-Whitehall Civil Service,Other depts,#N/A,70,70,1520,110,0,0,0,0,0,0,1450,-1410,-110,0,0,0,0.0%,0.0%,2071.4%,-92.8%,-100.0%,,,,0,0,1450,40,-70,-70,-70,-70,0.0%,0.0%,2071.4%,57.1%,-100.0%,-100.0%,-100.0%,-100.0%
,Scot Gov,Historic Scotland,Non-Whitehall Civil Service,Other depts,#N/A,1040,900,900,1060,1050,920,950,1120,0,-140,0,160,-10,-130,30,170,0.0%,-13.5%,0.0%,17.8%,-0.9%,-12.4%,3.3%,17.9%,0,-140,-140,20,10,-120,-90,80,0.0%,-13.5%,-13.5%,1.9%,1.0%,-11.5%,-8.7%,7.7%
,Scot Gov,HM Inspectorate of Education,Non-Whitehall Civil Service,Other depts,#N/A,200,200,200,180,0,0,0,0,0,0,0,-20,-180,0,0,0,0.0%,0.0%,0.0%,-10.0%,-100.0%,,,,0,0,0,-20,-200,-200,-200,-200,0.0%,0.0%,0.0%,-10.0%,-100.0%,-100.0%,-100.0%,-100.0%
,Scot Gov,Mental Health Tribunal Scotland,Non-Whitehall Civil Service,Other depts,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
,Scot Gov,National Archive for Scotland,Non-Whitehall Civil Service,Other depts,#N/A,140,140,140,0,0,0,0,0,0,0,0,-140,0,0,0,0,0.0%,0.0%,0.0%,-100.0%,,,,,0,0,0,-140,-140,-140,-140,-140,0.0%,0.0%,0.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%
,Scot Gov,National Records of Scotland,Non-Whitehall Civil Service,Other depts,#N/A,0,0,0,410,370,370,370,380,0,0,0,410,-40,0,0,10,,,,,-9.8%,0.0%,0.0%,2.7%,0,0,0,410,370,370,370,380,,,,,,,,
,Scot Gov,Office for the Scottish Charity Regulator,Non-Whitehall Civil Service,Other depts,#N/A,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,Scot Gov,Registers of Scotland,Non-Whitehall Civil Service,Other depts,#N/A,1260,1240,1200,1120,1130,1120,1000,1000,0,-20,-40,-80,10,-10,-120,0,0.0%,-1.6%,-3.2%,-6.7%,0.9%,-0.9%,-10.7%,0.0%,0,-20,-60,-140,-130,-140,-260,-260,0.0%,-1.6%,-4.8%,-11.1%,-10.3%,-11.1%,-20.6%,-20.6%
,Scot Gov,Scottish Court Service,Non-Whitehall Civil Service,Other depts,#N/A,1470,1460,1440,1430,1350,1350,1340,1320,0,-10,-20,-10,-80,0,-10,-20,0.0%,-0.7%,-1.4%,-0.7%,-5.6%,0.0%,-0.7%,-1.5%,0,-10,-30,-40,-120,-120,-130,-150,0.0%,-0.7%,-2.0%,-2.7%,-8.2%,-8.2%,-8.8%,-10.2%
,Scot Gov,Scottish Fisheries Protection Agency,Non-Whitehall Civil Service,Other depts,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
,Scot Gov,Scottish Government (excl agencies),Non-Whitehall Civil Service,Other depts,#N/A,5320,5350,5240,5110,4990,5020,4980,4870,0,30,-110,-130,-120,30,-40,-110,0.0%,0.6%,-2.1%,-2.5%,-2.3%,0.6%,-0.8%,-2.2%,0,30,-80,-210,-330,-300,-340,-450,0.0%,0.6%,-1.5%,-3.9%,-6.2%,-5.6%,-6.4%,-8.5%
,Scot Gov,Scottish Housing Regulator,Non-Whitehall Civil Service,Other depts,#N/A,60,60,60,50,50,50,50,50,0,0,0,-10,0,0,0,0,0.0%,0.0%,0.0%,-16.7%,0.0%,0.0%,0.0%,0.0%,0,0,0,-10,-10,-10,-10,-10,0.0%,0.0%,0.0%,-16.7%,-16.7%,-16.7%,-16.7%,-16.7%
,Scot Gov,Scottish Law Commission,Non-Whitehall Civil Service,Other depts,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
,Scot Gov,Scottish Prison Service Headquarters,Non-Whitehall Civil Service,Other depts,#N/A,4010,4030,4040,4060,4100,3940,4080,4080,0,20,10,20,40,-160,140,0,0.0%,0.5%,0.2%,0.5%,1.0%,-3.9%,3.6%,0.0%,0,20,30,50,90,-70,70,70,0.0%,0.5%,0.7%,1.2%,2.2%,-1.7%,1.7%,1.7%
,Scot Gov,Scottish Public Pensions Agency,Non-Whitehall Civil Service,Other depts,#N/A,240,240,230,230,230,240,240,230,0,0,-10,0,0,10,0,-10,0.0%,0.0%,-4.2%,0.0%,0.0%,4.3%,0.0%,-4.2%,0,0,-10,-10,-10,0,0,-10,0.0%,0.0%,-4.2%,-4.2%,-4.2%,0.0%,0.0%,-4.2%
,Scot Gov,Social Work Inspection Agency,Non-Whitehall Civil Service,Other depts,#N/A,40,30,30,0,0,0,0,0,0,-10,0,-30,0,0,0,0,0.0%,-25.0%,0.0%,-100.0%,,,,,0,-10,-10,-40,-40,-40,-40,-40,0.0%,-25.0%,-25.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%
,Scot Gov,Student Awards Agency,Non-Whitehall Civil Service,Other depts,#N/A,160,160,160,160,160,160,150,170,0,0,0,0,0,0,-10,20,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-6.3%,13.3%,0,0,0,0,0,0,-10,10,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-6.3%,6.3%
,Scot Gov,Transport Scotland,Non-Whitehall Civil Service,Other depts,#N/A,410,410,390,390,380,380,370,360,0,0,-20,0,-10,0,-10,-10,0.0%,0.0%,-4.9%,0.0%,-2.6%,0.0%,-2.6%,-2.7%,0,0,-20,-20,-30,-30,-40,-50,0.0%,0.0%,-4.9%,-4.9%,-7.3%,-7.3%,-9.8%,-12.2%
Welsh Gov,Welsh Gov,Welsh Government,Non-Whitehall Civil Service,Other depts,#N/A,5510,5450,5360,5210,5020,5010,5080,5140,0,-60,-90,-150,-190,-10,70,60,0.0%,-1.1%,-1.7%,-2.8%,-3.6%,-0.2%,1.4%,1.2%,0,-60,-150,-300,-490,-500,-430,-370,0.0%,-1.1%,-2.7%,-5.4%,-8.9%,-9.1%,-7.8%,-6.7%
,Welsh Gov,Education Scotland,Non-Whitehall Civil Service,Other depts,#N/A,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,
,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
